,TNSName,DetDate,DetMag,RA,Dec,Separation[arcmin],reporter
0,SN 2001ae,2001-03-15 00:00:00.000,17.3,13:22:26.160,-02:25:25.00,0.3205049483068168,
1,SN 2002I,2002-01-19 00:00:00.000,17.3,13:22:26.839,-02:25:04.12,0.18966105715788564,
2,AT 2017dsi,2017-04-26 08:49:55.000,20.68,13:20:46.318,-02:26:23.63,24.953825381374088,Pan-STARRS
3,AT 2019hve,2019-06-17 05:33:20.000,19.21,13:22:25.559,-02:25:19.81,0.26829298106099847,ZTF
4,SN 2021cev,2021-02-06 10:05:59.997,19.5467,13:22:43.096,-02:10:09.87,15.524822520852437,ALeRCE
5,AT 2021iev,2021-04-04 10:37:55.200,19.189,13:22:42.859,-02:41:47.51,17.21257413366121,ATLAS
