,TNSName,DetDate,DetMag,RA,Dec,Separation[arcmin],reporter
0, 1945A,1945-04-08 00:00:00.000,14,13:29:57.900,+47:16:16.00,4.641087293392806,
1,SN 1994I,1994-04-02 00:00:00.000,13.5,13:29:54.010,+47:11:31.70,0.286857190321384,
2,SN 2005cs,2005-06-28 00:00:00.000,14,13:29:52.781,+47:10:35.69,1.1154100601016597,
3,SN 2011dh,2011-06-01 00:00:00.000,14,13:30:05.119,+47:10:10.81,2.605945399468431,
4,AT 2013ix,2013-04-11 05:58:33.000,20.8594,13:30:35.888,+47:19:13.96,10.501257763447015,iPTF
5,AT 2013iz,2013-04-12 06:50:23.000,20.4559,13:30:45.550,+47:02:27.99,12.894581263887007,iPTF
6,AT 2013ja,2013-04-12 06:50:23.000,20.8597,13:30:39.674,+47:01:27.31,13.001359663946472,iPTF
7,AT 2013jb,2013-04-12 06:50:23.000,20.8274,13:30:55.412,+47:01:00.76,15.109419925665739,iPTF
8,AT 2019abn,2019-01-22 13:19:43.000,19.58,13:29:42.394,+47:11:16.99,1.8028339366538213,ZTF
9,AT 2020jsb,2020-04-29 07:21:30.240,20.7179,13:29:53.202,+47:13:23.91,1.6904503822169246,ZTF
10,AT 2021ahrm,2021-12-23 00:08:15.072,20.6,13:29:58.040,+47:12:31.70,1.2210037756521153,XOSS
11,AT 2022bqj,2022-02-07 23:53:02.688,19.82,13:29:30.160,+47:12:51.50,3.99742954821852,XOSS
