,TNSName,DetDate,DetMag,RA,Dec,Separation[arcmin],reporter
0,SN 2005gd,2005-09-22 00:00:00.000,21.2,01:59:51.031,+00:38:26.20,14.761090122914212,
1,AT 2017jfm,2017-12-11 07:14:52.000,21.37,02:00:02.323,+00:21:46.37,3.5769028240437697,Pan-STARRS
