,TNSName,DetDate,DetMag,RA,Dec,Separation[arcmin],reporter
0, 1961U,1962-01-02 00:00:00.000,13.7,11:52:47.100,+44:06:00.00,1.3127220853096502,
1,SN 1964L,1964-12-11 00:00:00.000,13.3,11:52:49.099,+44:07:45.41,0.5111180835521261,
2,SN 2005ay,2005-03-27 00:00:00.000,15.6,11:52:48.070,+44:06:18.40,0.9697363300992363,
3,SN 2014W,2014-01-25 00:00:00.000,17.5,11:54:42.290,+44:01:18.08,21.13665658324913,
4,SN 2017ein,2017-05-25 23:16:48.000,17.6,11:52:53.250,+44:07:26.11,0.7213816778623922,None
5,AT 2018eos,2018-07-20 06:02:52.000,19.84,11:52:55.450,+44:27:06.98,19.898125773736428,GaiaAlerts
6,AT 2018ias,2018-11-01 11:53:05.000,19.1175,11:51:19.602,+44:09:41.72,16.289476621116595,ZTF
7,AT 2018lve,2018-05-04 06:17:16.800,19.17,11:52:22.480,+43:57:32.59,10.841280941594707,ZTF
8,AT 2021aqc,2021-01-13 10:40:34.997,21.0787,11:51:49.221,+44:19:17.08,16.155682055288466,ALeRCE
9,AT 2021bai,2021-01-17 15:07:12.000,20.78,11:53:11.180,+43:44:02.39,23.538116047346467,Pan-STARRS
10,AT 2022ckk,2022-02-13 08:24:14.999,19.6766,11:53:00.136,+44:07:50.29,2.0204682661143756,ALeRCE
