| wdmass | he_shell_mass | edge_lit | exptime_polin |          magoffset | success |     nfev | ndata | nvar |              chisq |          redchisqr |                aic |                bic |
|    1.1 |          0.01 |      0.0 |      59527.86 |               0.66 |     1.0 | 125000.0 | 196.0 |  2.0 | 47337.644745957274 | 244.00847807194472 |  1079.441508260899 | 1085.9977375793599 |
|    1.2 |          0.01 |      0.0 |      59528.27 | 1.1400000000000001 |     1.0 | 125000.0 | 196.0 |  2.0 |   84699.9022758145 | 436.59743441141495 | 1193.4759932575457 | 1200.0322225760067 |
|    1.1 |          0.05 |      0.0 |      59528.99 | 0.8400000000000001 |     1.0 | 125000.0 | 196.0 |  2.0 |  104337.6859242343 |  537.8231233207954 |  1234.345554819919 |   1240.90178413838 |
|    1.0 |          0.08 |      1.0 |      59528.94 |               0.89 |     1.0 | 125000.0 | 196.0 |  2.0 | 108932.16874799244 |  561.5060244741878 | 1242.7917366280444 | 1249.3479659465054 |
|    1.0 |          0.01 |      0.0 |      59526.54 |                0.5 |     1.0 | 125000.0 | 196.0 |  2.0 | 128912.32538663795 |  664.4965226115359 |  1275.799536396907 | 1282.3557657153679 |
|    0.9 |          0.08 |      1.0 |      59527.83 |                0.5 |     1.0 | 125000.0 | 196.0 |  2.0 | 146917.86772761904 |  757.3085965341188 |  1301.424808179252 |  1307.981037497713 |
|    1.1 |          0.08 |      1.0 |      59528.87 |               1.28 |     1.0 | 125000.0 | 196.0 |  2.0 | 151450.72992018753 |  780.6738655679769 | 1307.3805914447435 | 1313.9368207632044 |
|    1.2 |          0.05 |      0.0 |      59528.96 |               1.33 |     1.0 | 125000.0 | 196.0 |  2.0 | 156117.17191959472 |  804.7276903071893 | 1313.3284996343173 | 1319.8847289527782 |
|    1.0 |          0.05 |      0.0 |      59526.53 |               0.72 |     1.0 | 125000.0 | 196.0 |  2.0 |   164083.489994714 |   845.791185539763 |  1323.083136660415 |  1329.639365978876 |
|    1.3 |          0.01 |      0.0 |      59528.76 | 1.4500000000000002 |     1.0 | 125000.0 | 196.0 |  2.0 | 166865.69573732806 |  860.1324522542684 | 1326.3786587282252 | 1332.9348880466862 |
|    1.1 |          0.08 |      0.0 |      59528.97 |               1.12 |     1.0 | 125000.0 | 196.0 |  2.0 | 170797.44440367573 |  880.3991979570914 | 1330.9433119433336 | 1337.4995412617945 |
|    1.2 |          0.08 |      1.0 |      59528.96 |               1.56 |     1.0 | 125000.0 | 196.0 |  2.0 |  219679.0516717993 | 1132.3662457309242 | 1380.2744160004315 | 1386.8306453188925 |
|    1.0 |          0.08 |      0.0 |      59529.02 |               0.69 |     1.0 | 125000.0 | 196.0 |  2.0 |  233436.2086804912 |  1203.279426188099 | 1392.1796948080787 | 1398.7359241265397 |
|    1.3 |          0.05 |      0.0 |       59529.0 | 1.6400000000000001 |     1.0 | 125000.0 | 196.0 |  2.0 |  275057.3695843649 | 1417.8214927029117 | 1424.3375812169106 | 1430.8938105353716 |
|    0.9 |          0.05 |      0.0 |      59525.36 |                0.5 |     1.0 | 125000.0 | 196.0 |  2.0 |  850196.9587113983 |  4382.458550058755 | 1645.5212970709006 | 1652.0775263893615 |
|    0.9 |          0.08 |      0.0 |      59525.62 |                0.5 |     1.0 | 125000.0 | 196.0 |  2.0 | 1073431.3195826628 |  5533.151131869396 | 1691.2182263703903 | 1697.7744556888513 |
|    0.9 |          0.01 |      0.0 |       59525.0 |                0.5 |     1.0 | 125000.0 | 196.0 |  2.0 | 1261300.3549529428 |  6501.548221406922 | 1722.8296665915598 | 1729.3858959100207 |
|    0.8 |          0.08 |      0.0 |      59529.29 |                0.5 |     1.0 | 125000.0 | 196.0 |  2.0 |  6922782.957559325 |  35684.44823484188 |  2056.553894806957 |  2063.110124125418 |
|    0.8 |          0.01 |      0.0 |       59525.0 |                0.5 |     1.0 | 125000.0 | 196.0 |  2.0 | 13841266.581468612 |  71346.73495602378 |  2192.349870704651 | 2198.9061000231122 |
|    0.8 |          0.05 |      0.0 |       59525.0 |                0.5 |     1.0 | 125000.0 | 196.0 |  2.0 | 14939452.407210454 |  77007.48663510544 | 2207.3146792940297 |  2213.870908612491 |
|    0.7 |          0.08 |      0.0 |      59529.31 |                0.5 |     1.0 | 125000.0 | 196.0 |  2.0 | 16042066.270727541 |  82691.06325117289 |  2221.271621298285 |  2227.827850616746 |
|    0.7 |          0.05 |      0.0 |      59529.31 |                0.5 |     1.0 | 125000.0 | 196.0 |  2.0 |  47292790.86478623 |  243777.2724988981 |  2433.175738843358 |  2439.731968161819 |
|    0.7 |          0.01 |      0.0 |      59527.72 |                0.5 |     1.0 | 125000.0 | 196.0 |  2.0 |  73457561.61253378 | 378647.22480687517 | 2519.4843340533694 | 2526.0405633718306 |
|    0.6 |          0.08 |      0.0 |       59529.4 |                0.5 |     1.0 | 125000.0 | 196.0 |  2.0 |  76815462.42744532 | 395955.99189404806 | 2528.2451630533815 | 2534.8013923718427 |
|    0.6 |          0.05 |      0.0 |      59529.96 |                0.5 |     1.0 | 125000.0 | 196.0 |  2.0 |  253167306.0557955 | 1304986.1136896675 | 2762.0035057022023 | 2768.5597350206635 |
|    0.6 |          0.01 |      0.0 |       59525.0 |                0.5 |     1.0 | 125000.0 | 196.0 |  2.0 | 513478727.41730493 | 2646797.5640067263 | 2900.6064821172695 | 2907.1627114357307 |
