|                               id |        ra |       dec |     ra1 |    dec1 |     ra2 |    dec2 |     ra3 |    dec3 |     ra4 |    dec4 |                  l |                   b | n_hostgalaxy |    prob_vol_x_stmass | rank | confidence |      obj | note |               weight | filter | count | exptime | binning |   ra_hms |   dec_dms | maxalt |                 transit | moonsep | scheduled | fraction_obs |
| d0b35a70f6c74d2185f4496cef963cf4 | 115.50800 | -48.39600 | 116.534 | -47.934 | 116.553 | -48.849 | 114.463 | -48.849 | 114.482 | -47.934 |   261.413034140771 |  -12.21425042198133 |           56 |   0.4713457319972255 |   14 |       0.99 | S240915b | 4834 |   0.4713457319972255 |      r |     6 |     100 |       1 | 07:42:01 | -48:23:45 |  49.73 | 2024-09-15T12:46:35.670 |  108.04 |      True |         0.20 |
| f5a8af7a5a7f4fd0af28272d22b6702e | 113.14300 | -51.79200 | 114.243 |  -51.33 | 114.266 | -52.245 |  112.02 | -52.245 | 112.043 |  -51.33 |  263.8627868225976 | -15.072023480817698 |           83 |   0.4231681802494144 |   15 |       0.99 | S240915b | 4111 |   0.4231681802494144 |      r |     6 |     100 |       1 | 07:32:34 | -51:47:31 |  50.54 | 2024-09-15T12:37:08.070 |  104.33 |     False |         0.20 |
| dc9742aaabdd49559692cfb340249e48 | 117.34800 | -50.09400 |  118.41 | -49.632 |  118.43 | -50.547 | 116.266 | -50.547 | 116.287 | -49.632 | 263.52187407450816 | -11.943184219815585 |           67 |   0.3822268602652833 |   16 |       0.99 | S240915b | 4468 |   0.3822268602652833 |      r |     6 |     100 |       1 | 07:49:23 | -50:05:38 |  48.29 | 2024-09-15T12:53:57.270 |  106.85 |     False |         0.20 |
| cb1a2c65c0d9464c91d3c1f25502f2da | 108.00000 | -47.54700 |  109.01 | -47.085 | 109.027 |   -48.0 | 106.973 |   -48.0 |  106.99 | -47.085 |  258.4375584430278 | -16.416378836689372 |          123 |  0.37962891050301867 |   17 |       0.99 | S240915b | 5018 |  0.37962891050301867 |      r |     6 |     100 |       1 | 07:12:00 | -47:32:49 |  54.82 | 2024-09-15T12:16:33.750 |  106.77 |     False |         0.23 |
| af03351b855643f5843276a8069d9128 | 111.23600 | -50.94300 | 112.316 | -50.481 | 112.338 | -51.396 | 110.134 | -51.396 | 110.156 | -50.481 |  262.5511665152703 | -15.806594811997329 |           73 |  0.36548492713132724 |   18 |       0.99 | S240915b | 4286 |  0.36548492713132724 |      r |     6 |     100 |       1 | 07:24:56 | -50:56:34 |  51.91 | 2024-09-15T12:29:30.390 |  104.64 |     False |         0.23 |
| cc0ab65c57a14f2f8a88fc5c9159152f | 109.39200 | -50.09400 | 110.454 | -49.632 | 110.474 | -50.547 |  108.31 | -50.547 | 108.331 | -49.632 |  261.2571909750601 | -16.548568176747576 |           77 |  0.34559753180174047 |   19 |       0.99 | S240915b | 4464 |  0.34559753180174047 |      r |     6 |     100 |       1 | 07:17:34 | -50:05:38 |  53.27 | 2024-09-15T12:22:07.830 |  104.91 |     False |         0.23 |
| 45015fba6f2d4c11ab9fc0c66fbfdd2c | 117.39100 | -49.24500 | 118.435 | -48.783 | 118.454 | -49.698 | 116.328 | -49.698 | 116.348 | -48.783 |  262.7723627195871 |  -11.51524584156903 |           47 |   0.3266500174989091 |   20 |       0.99 | S240915b | 4650 |   0.3266500174989091 |      r |     6 |     100 |       1 | 07:49:33 | -49:14:41 |  48.38 | 2024-09-15T12:54:07.590 |  107.66 |     False |         0.17 |
| 23c53200d0ae4f56a7a0c16d2c8e6a13 | 117.30300 | -50.94300 | 118.384 | -50.481 | 118.405 | -51.396 | 116.201 | -51.396 | 116.223 | -50.481 |  264.2737980033877 | -12.369082064115073 |           15 |  0.29730863107162037 |   21 |        1.0 | S240915b | 4289 |  0.29730863107162037 |      r |     6 |     100 |       1 | 07:49:12 | -50:56:34 |  48.18 | 2024-09-15T12:53:46.470 |  106.03 |     False |         0.20 |
| ca02d1fac6ca4aea8f5093ca602b8077 | 107.60900 | -49.24500 | 108.652 | -48.783 | 108.672 | -49.698 | 106.546 | -49.698 | 106.565 | -48.783 | 259.97938049207283 | -17.296039636077314 |           33 |  0.12600393398806908 |   22 |        1.0 | S240915b | 4645 |  0.12600393398806908 |      r |     6 |     100 |       1 | 07:10:26 | -49:14:41 |  54.62 | 2024-09-15T12:14:59.910 |  105.14 |     False |         0.23 |
| fbb23361993345bba9b4a151be4a389e | 119.33700 | -50.09400 | 120.398 | -49.632 | 120.419 | -50.547 | 118.255 | -50.547 | 118.276 | -49.632 |  264.1522203581153 | -10.826876204000168 |           34 |  0.11335813600008526 |   23 |        1.0 | S240915b | 4469 |  0.11335813600008526 |      r |     6 |     100 |       1 | 07:57:20 | -50:05:38 |  47.03 | 2024-09-15T13:01:54.630 |  107.23 |     False |         0.17 |
| e50f2ac926bb435285316014d014ce57 | 111.78900 | -47.54700 | 112.799 | -47.085 | 112.817 |   -48.0 | 110.762 |   -48.0 |  110.78 | -47.085 |  259.5041770499256 | -14.074932422426308 |           31 |  0.10383631820998414 |   24 |        1.0 | S240915b | 5020 |  0.10383631820998414 |      r |     6 |     100 |       1 | 07:27:09 | -47:32:49 |  52.33 | 2024-09-15T12:31:43.110 |  107.88 |     False |         0.20 |
| 5e4cc719e37647f0aed7ed2a9b991094 | 115.20000 | -51.79200 |   116.3 |  -51.33 | 116.323 | -52.245 | 114.077 | -52.245 |   114.1 |  -51.33 | 264.43181532752635 | -13.925147309502469 |            6 |  0.08883445127980596 |   25 |        1.0 | S240915b | 4112 |  0.08883445127980596 |      r |     6 |     100 |       1 | 07:40:48 | -51:47:31 |  49.31 | 2024-09-15T12:45:21.750 |  104.79 |     False |         0.20 |
| 471ae718d708460c9833e5bb5cc74cba | 117.25700 | -51.79200 | 118.357 |  -51.33 |  118.38 | -52.245 | 116.134 | -52.245 | 116.157 |  -51.33 | 265.02822613898945 | -12.792845353664442 |            7 |   0.0717198964664327 |   26 |        1.0 | S240915b | 4113 |   0.0717198964664327 |      r |     6 |     100 |       1 | 07:49:01 | -51:47:31 |  48.06 | 2024-09-15T12:53:35.430 |  105.22 |     False |         0.20 |
| 4292fad201974e129320fbb6a0a89ef6 | 119.32600 | -50.94300 | 120.406 | -50.481 | 120.428 | -51.396 | 118.224 | -51.396 | 118.245 | -50.481 | 264.90086979757905 |  -11.25234759529106 |            0 | 0.009535593443113936 |   27 |        1.0 | S240915b | 4290 | 0.009535593443113936 |      r |     6 |     100 |       1 | 07:57:18 | -50:56:34 |  46.92 | 2024-09-15T13:01:51.990 |  106.42 |     False |         0.17 |
| c1abf60f05064d16babc69986b2b0b00 | 119.31400 | -51.79200 | 120.415 |  -51.33 | 120.437 | -52.245 | 118.191 | -52.245 | 118.214 |  -51.33 |  265.6517408183284 | -11.675924316154282 |            1 | 0.009535593443113936 |   28 |        1.0 | S240915b | 4114 | 0.009535593443113936 |      r |     6 |     100 |       1 | 07:57:15 | -51:47:31 |  46.81 | 2024-09-15T13:01:49.110 |   105.6 |     False |         0.17 |
