|     name |        ra |       dec |     d_L |               prob_vol | stmass |    prob_vol_x_stmass | rank | confidence |       obj |     note |               weight | filter | count | exptime | binning |   ra_hms |   dec_dms | maxalt |                 transit | moonsep |                               id | fraction_obs | scheduled |
|   134862 | 227.92200 |   5.30200 | 616.884 |  9.061482812013277e-08 |  200.0 |                  1.0 |    0 |        0.5 | S240910ci |   134862 |                  1.0 |      r |    10 |     120 |       1 | 15:11:41 |  05:18:07 |  27.18 | 2024-09-17T20:04:43.006 |  122.63 | 6b94ed70b6244be89832b388e60666f1 |         0.00 |     False |
|  1445476 | 240.20200 | -13.75500 | 728.919 | 2.0735746025753126e-07 |   25.0 |  0.28604095583491135 |    1 |        0.5 | S240910ci |  1445476 |  0.28604095583491135 |      r |    10 |     120 |       1 | 16:00:48 | -13:45:18 |  48.16 | 2024-09-17T20:53:50.206 |  107.85 | 0b5222cdfb8641b9a4296280948211cf |         0.17 |      True |
|  1576494 | 242.94200 | -17.09500 |  733.82 | 1.6618811925272166e-07 |   30.0 |  0.27509940615103795 |    2 |        0.5 | S240910ci |  1576494 |  0.27509940615103795 |      r |    10 |     120 |       1 | 16:11:46 | -17:05:41 |   52.1 | 2024-09-17T21:04:47.806 |  104.62 | f07340f0d8b74986b394aab943606e4e |         0.20 |      True |
|  1522841 | 241.83700 | -15.39300 | 716.571 | 2.4754841550076036e-07 |   19.0 |  0.25952666501472543 |    3 |        0.5 | S240910ci |  1522841 |  0.25952666501472543 |      r |    10 |     120 |       1 | 16:07:20 | -15:23:34 |  50.35 | 2024-09-17T21:00:22.606 |  105.99 | f5e77b1897ff49d1af25d621b676304f |         0.17 |      True |
|  1522724 | 240.34800 | -14.03100 | 707.283 | 2.0641450098102517e-07 |   20.0 |   0.2277917355993566 |    4 |        0.5 | S240910ci |  1522724 |   0.2277917355993566 |      r |    10 |     120 |       1 | 16:01:23 | -14:01:51 |  48.42 | 2024-09-17T20:54:25.246 |  107.66 | ac9fb75ed2c74a129bc7459552c3814f |         0.17 |      True |
|  1522711 | 240.20000 | -13.71900 | 785.873 | 1.6548116497730607e-07 |   24.0 |  0.21914290959865879 |    5 |        0.5 | S240910ci |  1522711 |  0.21914290959865879 |      r |    10 |     120 |       1 | 16:00:48 | -13:43:08 |  48.14 | 2024-09-17T20:53:49.726 |  107.86 | 52e5c4c538e34a2fabd8f9921b31c8e6 |         0.17 |      True |
|  1556276 | 238.54500 | -10.75900 | 617.785 | 1.9448813015739083e-07 |   20.0 |    0.214630098452987 |    6 |        0.5 | S240910ci |  1556276 |    0.214630098452987 |      r |    10 |     120 |       1 | 15:54:10 | -10:45:32 |  45.21 | 2024-09-17T20:47:12.526 |   110.0 | 5fd8606aa14b4b89bd03711c6bafc26f |         0.13 |      True |
|   428947 | 230.21700 |   0.72000 | 626.681 |  9.658433785732263e-08 |   40.0 |  0.21317398234999207 |    7 |        0.5 | S240910ci |   428947 |  0.21317398234999207 |      r |    10 |     120 |       1 | 15:20:52 |  00:43:11 |   31.8 | 2024-09-17T20:13:53.806 |  119.94 | af9df3fbca634481b327f59693c71634 |         0.03 |     False |
|  1466280 | 248.36600 | -21.60900 | 600.334 | 1.8363996514491376e-07 |   20.0 |  0.20265834160343302 |    8 |        0.5 | S240910ci |  1466280 |  0.20265834160343302 |      r |    10 |     120 |       1 | 16:33:27 | -21:36:32 |  58.68 | 2024-09-17T21:26:29.566 |   98.76 | 7da09191e2744b9f9e30a1931a0d553e |         0.23 |      True |
|  1259457 | 241.65200 | -14.50000 |  661.02 | 2.0597986662314444e-07 |   17.0 |   0.1932149690875115 |    9 |        0.5 | S240910ci |  1259457 |   0.1932149690875115 |      r |    10 |     120 |       1 | 16:06:36 | -14:30:00 |  49.75 | 2024-09-17T20:59:38.206 |  106.33 | 5f6b2b2ea1f446ef9fe1110b8fb9a953 |         0.17 |      True |
