utctime,alt,az
2024-11-27 09:40:52.126953,-33.19772811552809,278.8977131870763
2024-11-27 09:50:52.126953,-35.192264905459055,280.6101684173782
2024-11-27 10:00:52.126953,-37.17545125142283,282.3847255995083
2024-11-27 10:10:52.126953,-39.144912634820585,284.23027568905957
2024-11-27 10:20:52.126953,-41.09798397788914,286.1567594029177
2024-11-27 10:30:52.126953,-43.03165185354051,288.1753203106879
2024-11-27 10:40:52.126953,-44.94248586200076,290.2984708787079
2024-11-27 10:50:52.126953,-46.82655725792356,292.5402667266113
2024-11-27 11:00:52.126953,-48.6793428519325,294.9164797421579
2024-11-27 11:10:52.126953,-50.49561238672465,297.44475344898814
2024-11-27 11:20:52.126953,-52.26929820555584,300.14471298923337
2024-11-27 11:30:52.126953,-53.99334741667898,303.03798589103917
2024-11-27 11:40:52.126953,-55.65955940453463,306.14806709663543
2024-11-27 11:50:52.126953,-57.25841613856623,309.4999319435386
2024-11-27 12:00:52.126953,-58.77892014526106,313.1192656665962
2024-11-27 12:10:52.126953,-60.208466081285984,317.03114450264127
2024-11-27 12:20:52.126953,-61.532786879336314,321.2579882721569
2024-11-27 12:30:52.126953,-62.73603312849156,325.8166384837721
2024-11-27 12:40:52.126953,-63.80106008143746,330.7145458031702
2024-11-27 12:50:52.126953,-64.71000070914744,335.94532419878755
2024-11-27 13:00:52.126953,-65.44518061123986,341.484355763105
2024-11-27 13:10:52.126953,-65.9903663064202,347.28561334781654
2024-11-27 13:20:52.126953,-66.33223034242685,353.2811523631679
2024-11-27 13:30:52.126953,-66.4617922086753,359.38445729310746
2024-11-27 13:40:52.126953,-66.37551401693449,5.497819653427339
2024-11-27 13:50:52.126953,-66.07576022030152,11.522453178182625
2024-11-27 14:00:52.126953,-65.5704886043133,17.368884176584164
2024-11-27 14:10:52.126953,-64.87226246660653,22.965031232841312
2024-11-27 14:20:52.126953,-63.996852358472616,28.260392156665393
2024-11-27 14:30:52.126953,-62.96175280153686,33.22623702110988
2024-11-27 14:40:52.126953,-61.78487699774646,37.852849121352214
2024-11-27 14:50:52.126953,-60.48357133011168,42.14526665625439
2024-11-27 15:00:52.126953,-59.073976696156535,46.11877629671684
2024-11-27 15:10:52.126953,-57.570690075152044,49.7949410156062
2024-11-27 15:20:52.126953,-55.986649774136765,53.1984940340406
2024-11-27 15:30:52.126953,-54.33316779438924,56.35512491797503
2024-11-27 15:40:52.126953,-52.62004710812529,59.290028600169116
2024-11-27 15:50:52.126953,-50.855739443935676,62.02703881174208
2024-11-27 16:00:52.126953,-49.047514930129495,64.58817571670005
2024-11-27 16:10:52.126953,-47.201626821280165,66.9934690930683
2024-11-27 16:20:52.126953,-45.3234626223024,69.26095399806816
2024-11-27 16:30:52.126953,-43.41767801740058,71.40676696786853
2024-11-27 16:40:52.126953,-41.48831298875708,73.44529491980539
2024-11-27 16:50:52.126953,-39.53889110359815,75.38934632541991
2024-11-27 17:00:52.126953,-37.572503689159205,77.2503261771646
2024-11-27 17:10:52.126953,-35.59188086044144,79.03840418146976
2024-11-27 17:20:52.126953,-33.599451341111575,80.76267067711218
2024-11-27 17:30:52.126953,-31.59739286102209,82.43127791783574
2024-11-27 17:40:52.126953,-29.58767470362455,84.05156623087174
2024-11-27 17:50:52.126953,-27.5720937568884,85.6301756216906
2024-11-27 18:00:52.126953,-25.55230521419025,87.17314394369826
2024-11-27 18:10:52.126953,-23.5298488869996,88.68599298820706
2024-11-27 18:20:52.126953,-21.506171931981154,90.17380390255276
2024-11-27 18:30:52.126953,-19.482648660669447,91.64128329327829
2024-11-27 18:40:52.126953,-17.46059798814095,93.09282126643798
2024-11-27 18:50:52.126953,-15.441298984886682,94.53254252851642
2024-11-27 19:00:52.126953,-13.42600492067298,95.96435153640611
2024-11-27 19:10:52.126953,-11.415956127631338,97.39197255296483
2024-11-27 19:20:52.126953,-9.412391959724705,98.81898534044231
2024-11-27 19:30:52.126953,-7.416562084867875,100.2488571091881
2024-11-27 19:40:52.126953,-5.429737312622962,101.68497123324532
2024-11-27 19:50:52.126953,-3.453220132657321,103.13065314664503
2024-11-27 20:00:52.126953,-1.4883551159400406,104.58919374235587
2024-11-27 20:10:52.126953,0.4634606895406177,106.06387050784573
2024-11-27 20:20:52.126953,2.400767255125581,107.55796654463597
2024-11-27 20:30:52.126953,4.322030864001061,109.07478753136662
2024-11-27 20:40:52.126953,6.225633122154473,110.617676598346
