RA_ICRS,DE_ICRS,E_BP_RP_corr,Bmag,BFlag,Vmag,VFlag,Rmag,RFlag,gmag,gFlag,rmag,rFlag,imag,iFlag,e_Bmag,e_Vmag,e_Rmag,e_gmag,e_rmag,e_imag
66.57858563046,-55.91518318123,-0.0104,17.131018,1,16.482798,1,16.095945,1,16.734106,1,16.278778,1,16.128696,1,0.02,0.02,0.02,0.02,0.02,0.02
66.77683225345,-55.91922835211,-0.0059,12.040741,0,10.999769,0,10.450129,0,11.474047,0,10.667127,0,10.394742,0,0.02,0.02,0.02,0.02,0.02,0.02
66.75610355581,-55.91208272543,0.0001,16.786383,1,16.251986,1,15.947475,1,16.447834,1,16.118708,1,16.021076,1,0.02,0.02,0.02,0.02,0.02,0.02
66.75246859409,-55.90001857632,-0.0009,,0,18.277113,1,17.331722,1,19.053700,1,17.682997,1,16.895763,1,0.02,0.02,0.02,0.02,0.02,0.02
66.76095790679,-55.91311120869,-0.0054,13.970835,1,13.261692,1,12.873305,1,13.545356,0,13.054055,0,12.919336,0,0.02,0.02,0.02,0.02,0.02,0.02
66.77369151603,-55.90816159583,0.0003,,0,17.923468,1,17.001497,1,18.691452,1,17.315487,1,16.653560,1,0.02,0.02,0.02,0.02,0.02,0.02
66.77696049882,-55.86556067159,-0.0044,14.587832,1,13.838202,1,13.416879,1,14.145947,0,13.607351,0,13.433160,0,0.02,0.02,0.02,0.02,0.02,0.02
66.77651652538,-55.87784869566,-0.0073,14.775893,1,13.801242,1,13.278329,1,14.239179,0,13.487558,0,13.245257,0,0.02,0.02,0.02,0.02,0.02,0.02
66.62471651686,-55.92103179133,-0.0021,14.063688,1,13.061692,1,12.520721,1,13.517217,0,12.734063,0,12.473660,0,0.02,0.02,0.02,0.02,0.02,0.02
66.66449781901,-55.90212524049,-0.0011,16.803920,1,16.115337,1,15.740475,1,16.392439,1,15.923935,1,15.780478,1,0.02,0.02,0.02,0.02,0.02,0.02
66.70958688749,-55.88088386410,-0.0005,16.330633,1,15.407012,1,14.879257,1,15.820445,1,15.087040,1,14.844389,1,0.02,0.02,0.02,0.02,0.02,0.02
66.62586936465,-55.87789802793,0.0045,13.733222,1,13.140959,1,12.794492,1,13.361555,0,12.972063,0,12.849404,0,0.02,0.02,0.02,0.02,0.02,0.02
66.60909759314,-55.87963120858,-0.0006,18.285067,1,17.693296,1,17.328680,1,17.921383,1,17.507341,1,17.380959,1,0.02,0.02,0.02,0.02,0.02,0.02
