RA_ICRS,DE_ICRS,Bmag,BFlag,Vmag,VFlag,Rmag,RFlag,gmag,gFlag,rmag,rFlag,imag,iFlag,e_Bmag,e_Vmag,e_Rmag,e_gmag,e_rmag,e_imag
42.52069804205,-31.22021593431,16.909090,1,15.805066,1,15.129538,1,16.352130,1,15.367969,1,15.008624,1,0.02,0.02,0.02,0.02,0.02,0.02
42.46698310307,-31.20452808289,19.049696,0,17.587452,1,16.661911,1,18.386230,1,16.980967,1,16.309620,1,0.02,0.02,0.02,0.02,0.02,0.02
42.49970476342,-31.19074446090,13.633277,1,12.928613,1,12.537969,1,13.210714,0,12.719980,0,12.580555,0,0.02,0.02,0.02,0.02,0.02,0.02
42.42184858081,-31.21084257865,16.618310,1,15.949401,1,15.554769,1,16.216482,1,15.742451,1,15.575203,1,0.02,0.02,0.02,0.02,0.02,0.02
42.40211926135,-31.21710412079,16.344640,1,15.681636,1,15.287547,1,15.949128,1,15.478934,1,15.299746,1,0.02,0.02,0.02,0.02,0.02,0.02
42.48020758168,-31.18097951358,18.188433,1,17.701350,1,17.366430,1,17.872303,1,17.536010,1,17.431137,1,0.02,0.02,0.02,0.02,0.02,0.02
42.55917933383,-31.17720201052,18.827055,1,17.769503,1,17.123550,1,18.292831,1,17.353876,1,17.012321,1,0.02,0.02,0.02,0.02,0.02,0.02
42.50473039991,-31.17095331577,14.502314,1,13.752249,1,13.334870,1,14.060232,0,13.523425,0,13.358923,0,0.02,0.02,0.02,0.02,0.02,0.02
42.57322751487,-31.12267738485,18.796412,0,17.233027,0,16.071120,0,18.036083,1,16.618130,1,15.292147,1,0.02,0.02,0.02,0.02,0.02,0.02
42.59168992495,-31.10097982172,18.449076,0,17.059242,1,16.182000,1,17.807050,1,16.477314,1,15.889014,1,0.02,0.02,0.02,0.02,0.02,0.02
42.46279475941,-31.11493320143,19.453623,0,17.980122,1,17.056269,1,18.769455,1,17.369923,1,16.719622,1,0.02,0.02,0.02,0.02,0.02,0.02
42.49227094343,-31.10279184828,17.375095,1,16.060305,1,15.236218,1,16.764137,1,15.507065,1,15.017532,1,0.02,0.02,0.02,0.02,0.02,0.02
42.54320844235,-31.12186504053,17.847960,1,17.207197,1,16.817001,1,17.460238,1,17.004236,1,16.840300,1,0.02,0.02,0.02,0.02,0.02,0.02
42.53259086094,-31.08719569351,16.883041,1,16.354998,1,16.014956,1,16.548971,1,16.193739,1,16.061274,1,0.02,0.02,0.02,0.02,0.02,0.02
42.52548659938,-31.08155726516,15.077129,1,14.480515,1,14.127002,1,14.707869,1,14.307438,1,14.171155,1,0.02,0.02,0.02,0.02,0.02,0.02
42.71909983244,-31.20420635213,15.289868,1,14.440048,1,13.961951,1,14.811643,0,14.171986,0,13.922602,0,0.02,0.02,0.02,0.02,0.02,0.02
42.66087620216,-31.15633361804,15.150246,1,14.564407,1,14.213411,1,14.785286,1,14.392257,1,14.263510,1,0.02,0.02,0.02,0.02,0.02,0.02
42.68815197765,-31.13868080995,17.227028,1,16.551630,1,16.154263,1,16.822266,1,16.341236,1,16.179132,1,0.02,0.02,0.02,0.02,0.02,0.02
42.67971473166,-31.12706409783,17.452848,1,16.310358,1,15.608155,1,16.891449,1,15.846715,1,15.483301,1,0.02,0.02,0.02,0.02,0.02,0.02
