wavelength[um],QE
0.962,0.0711
0.963,0.0702
0.964,0.0692
0.965,0.0683
0.966,0.0678
0.967,0.0673
0.968,0.0668
0.969,0.0663
0.97,0.0658
0.971,0.0658
0.972,0.0658
0.973,0.0658
0.974,0.0659
0.975,0.066
0.976,0.0661
0.977,0.0662
0.978,0.0655
0.979,0.0649
0.98,0.0642
0.981,0.0636
0.982,0.0629
0.983,0.0623
0.984,0.0617
0.985,0.0611
0.986,0.0604
0.987,0.0597
0.988,0.059
0.989,0.0583
0.99,0.0576
0.991,0.057
0.992,0.0564
0.993,0.0556
0.994,0.0546
0.995,0.0536
0.996,0.0523
0.997,0.0507
0.998,0.0491
0.999,0.0488
