|  obsdate | filter |    mag | e_mag | observatory |   status | [mag_cor-mag_origin] |
| 59530.39 |      u | 16.959 |  0.02 |       Swope | detected |               -0.469 |
| 59530.59 |      u | 16.909 |  0.04 |       Swope | detected |               -0.469 |
| 59531.39 |      u | 16.829 |  0.02 |       Swope | detected |               -0.469 |
| 59532.29 |      u | 16.339 |  0.02 |       Swope | detected |               -0.469 |
| 59532.49 |      u | 16.169 |  0.02 |       Swope | detected |               -0.469 |
| 59533.29 |      u | 15.599 |  0.02 |       Swope | detected |               -0.469 |
| 59533.49 |      u | 15.449 |  0.02 |       Swope | detected |               -0.469 |
| 59534.29 |      u | 14.909 |  0.02 |       Swope | detected |               -0.469 |
| 59534.49 |      u | 14.729 |  0.02 |       Swope | detected |               -0.469 |
| 59535.29 |      u | 14.269 |  0.02 |       Swope | detected |               -0.469 |
| 59536.29 |      u | 13.749 |  0.02 |       Swope | detected |               -0.469 |
| 59536.49 |      u | 13.629 |  0.02 |       Swope | detected |               -0.469 |
| 59537.29 |      u | 13.369 |  0.04 |       Swope | detected |               -0.469 |
| 59537.39 |      u | 13.229 |  0.02 |       Swope | detected |               -0.469 |
| 59538.19 |      u | 12.969 |  0.02 |       Swope | detected |               -0.469 |
| 59538.39 |      u | 12.929 |  0.02 |       Swope | detected |               -0.469 |
| 59539.29 |      u | 12.739 |  0.02 |       Swope | detected |               -0.469 |
| 59539.49 |      u | 12.689 |  0.02 |       Swope | detected |               -0.469 |
| 59540.19 |      u | 12.549 |  0.01 |       Swope | detected |               -0.469 |
| 59540.39 |      u | 12.489 |  0.02 |       Swope | detected |               -0.469 |
| 59541.19 |      u | 12.389 |  0.05 |       Swope | detected |               -0.469 |
| 59530.39 |      B |  16.02 |  0.01 |       Swope | detected |               -0.403 |
| 59530.59 |      B |  15.97 |  0.01 |       Swope | detected |               -0.403 |
| 59531.39 |      B |   15.6 |  0.01 |       Swope | detected |               -0.403 |
| 59532.29 |      B |   15.0 |  0.01 |       Swope | detected |               -0.403 |
| 59532.49 |      B |  14.82 |  0.01 |       Swope | detected |               -0.403 |
| 59533.29 |      B |  14.28 |  0.01 |       Swope | detected |               -0.403 |
| 59533.49 |      B |   14.1 |  0.01 |       Swope | detected |               -0.403 |
| 59534.29 |      B |  13.63 |  0.01 |       Swope | detected |               -0.403 |
| 59534.49 |      B |  13.48 |  0.01 |       Swope | detected |               -0.403 |
| 59535.29 |      B |  13.15 |  0.01 |       Swope | detected |               -0.403 |
| 59535.49 |      B |  13.04 |  0.01 |       Swope | detected |               -0.403 |
| 59536.29 |      B |  12.78 |  0.01 |       Swope | detected |               -0.403 |
| 59536.49 |      B |  12.68 |  0.01 |       Swope | detected |               -0.403 |
| 59537.19 |      B |   12.5 |  0.01 |       Swope | detected |               -0.403 |
| 59537.39 |      B |  12.41 |  0.01 |       Swope | detected |               -0.403 |
| 59538.19 |      B |  12.25 |  0.01 |       Swope | detected |               -0.403 |
| 59538.39 |      B |   12.2 |  0.01 |       Swope | detected |               -0.403 |
| 59539.29 |      B |  12.06 |  0.01 |       Swope | detected |               -0.403 |
| 59539.39 |      B |  12.04 |  0.01 |       Swope | detected |               -0.403 |
| 59540.19 |      B |  11.94 |  0.01 |       Swope | detected |               -0.403 |
| 59540.39 |      B |  11.92 |  0.01 |       Swope | detected |               -0.403 |
| 59541.19 |      B |  11.81 |  0.01 |       Swope | detected |               -0.403 |
| 59530.39 |      g | 15.904 |  0.01 |       Swope | detected |               -0.366 |
| 59530.59 |      g | 15.814 |  0.01 |       Swope | detected |               -0.366 |
| 59531.39 |      g | 15.374 |  0.01 |       Swope | detected |               -0.366 |
| 59532.29 |      g | 14.814 |  0.01 |       Swope | detected |               -0.366 |
| 59532.49 |      g | 14.644 |  0.01 |       Swope | detected |               -0.366 |
| 59533.29 |      g | 14.194 |  0.01 |       Swope | detected |               -0.366 |
| 59533.49 |      g | 14.054 |  0.01 |       Swope | detected |               -0.366 |
| 59534.29 |      g | 13.644 |  0.01 |       Swope | detected |               -0.366 |
| 59535.29 |      g | 13.224 |  0.01 |       Swope | detected |               -0.366 |
| 59535.49 |      g | 13.124 |  0.01 |       Swope | detected |               -0.366 |
| 59536.29 |      g | 12.864 |  0.01 |       Swope | detected |               -0.366 |
| 59536.49 |      g | 12.784 |  0.01 |       Swope | detected |               -0.366 |
| 59537.29 |      g | 12.564 |  0.01 |       Swope | detected |               -0.366 |
| 59537.39 |      g | 12.554 |  0.01 |       Swope | detected |               -0.366 |
| 59538.19 |      g | 12.354 |  0.01 |       Swope | detected |               -0.366 |
| 59538.39 |      g | 12.324 |  0.01 |       Swope | detected |               -0.366 |
| 59539.29 |      g | 12.184 |  0.01 |       Swope | detected |               -0.366 |
| 59539.49 |      g | 12.164 |  0.01 |       Swope | detected |               -0.366 |
| 59540.19 |      g | 12.044 |  0.01 |       Swope | detected |               -0.366 |
| 59540.39 |      g | 12.014 |  0.01 |       Swope | detected |               -0.366 |
| 59541.19 |      g | 11.924 |  0.01 |       Swope | detected |               -0.366 |
| 59530.39 |      V | 15.788 |  0.01 |       Swope | detected |               -0.296 |
| 59530.59 |      V | 15.678 |  0.01 |       Swope | detected |               -0.296 |
| 59531.39 |      V | 15.128 |  0.01 |       Swope | detected |               -0.296 |
| 59532.29 |      V | 14.608 |  0.01 |       Swope | detected |               -0.296 |
| 59532.49 |      V | 14.488 |  0.01 |       Swope | detected |               -0.296 |
| 59533.29 |      V | 14.088 |  0.01 |       Swope | detected |               -0.296 |
| 59533.49 |      V | 13.988 |  0.01 |       Swope | detected |               -0.296 |
| 59534.29 |      V | 13.648 |  0.01 |       Swope | detected |               -0.296 |
| 59534.49 |      V | 13.548 |  0.01 |       Swope | detected |               -0.296 |
| 59535.29 |      V | 13.288 |  0.01 |       Swope | detected |               -0.296 |
| 59535.49 |      V | 13.228 |  0.01 |       Swope | detected |               -0.296 |
| 59536.29 |      V | 12.968 |  0.01 |       Swope | detected |               -0.296 |
| 59536.49 |      V | 12.928 |  0.01 |       Swope | detected |               -0.296 |
| 59537.19 |      V | 12.718 |  0.01 |       Swope | detected |               -0.296 |
| 59537.39 |      V | 12.668 |  0.01 |       Swope | detected |               -0.296 |
| 59538.19 |      V | 12.498 |  0.01 |       Swope | detected |               -0.296 |
| 59538.39 |      V | 12.468 |  0.01 |       Swope | detected |               -0.296 |
| 59539.29 |      V | 12.348 |  0.01 |       Swope | detected |               -0.296 |
| 59539.39 |      V | 12.328 |  0.01 |       Swope | detected |               -0.296 |
| 59540.19 |      V | 12.208 |  0.01 |       Swope | detected |               -0.296 |
| 59540.39 |      V | 12.188 |  0.01 |       Swope | detected |               -0.296 |
| 59541.19 |      V | 12.108 |  0.01 |       Swope | detected |               -0.296 |
| 59530.39 |      r |  15.82 |  0.01 |       Swope | detected |                -0.25 |
| 59530.59 |      r |  15.71 |  0.01 |       Swope | detected |                -0.25 |
| 59531.39 |      r |  15.18 |  0.01 |       Swope | detected |                -0.25 |
| 59532.29 |      r |  14.68 |  0.01 |       Swope | detected |                -0.25 |
| 59532.49 |      r |  14.54 |  0.01 |       Swope | detected |                -0.25 |
| 59533.29 |      r |  14.14 |  0.01 |       Swope | detected |                -0.25 |
| 59534.29 |      r |  13.72 |  0.01 |       Swope | detected |                -0.25 |
| 59534.49 |      r |  13.62 |  0.01 |       Swope | detected |                -0.25 |
| 59535.29 |      r |  13.34 |  0.01 |       Swope | detected |                -0.25 |
| 59535.49 |      r |  13.26 |  0.01 |       Swope | detected |                -0.25 |
| 59536.29 |      r |  13.02 |  0.01 |       Swope | detected |                -0.25 |
| 59536.49 |      r |  12.95 |  0.01 |       Swope | detected |                -0.25 |
| 59537.19 |      r |  12.74 |  0.01 |       Swope | detected |                -0.25 |
| 59538.19 |      r |  12.54 |  0.01 |       Swope | detected |                -0.25 |
| 59538.39 |      r |  12.51 |  0.01 |       Swope | detected |                -0.25 |
| 59539.39 |      r |  12.35 |  0.01 |       Swope | detected |                -0.25 |
| 59540.19 |      r |  12.26 |  0.01 |       Swope | detected |                -0.25 |
