|  obsdate | filter |    mag | e_mag | observatory |   status | [mag_cor-mag_origin] |
| 59538.39 |      B | 12.603 |  0.01 |       Swope | detected |                -99.9 |
| 59539.29 |      B | 12.463 |  0.01 |       Swope | detected |                -99.9 |
| 59539.39 |      B | 12.443 |  0.01 |       Swope | detected |                -99.9 |
| 59540.19 |      B | 12.343 |  0.01 |       Swope | detected |                -99.9 |
| 59540.39 |      B | 12.323 |  0.01 |       Swope | detected |                -99.9 |
| 59541.19 |      B | 12.213 |  0.01 |       Swope | detected |                -99.9 |
| 59530.39 |      g |  16.27 |  0.01 |       Swope | detected |                -99.9 |
| 59530.59 |      g |  16.18 |  0.01 |       Swope | detected |                -99.9 |
| 59531.39 |      g |  15.74 |  0.01 |       Swope | detected |                -99.9 |
| 59532.29 |      g |  15.18 |  0.01 |       Swope | detected |                -99.9 |
| 59532.49 |      g |  15.01 |  0.01 |       Swope | detected |                -99.9 |
| 59533.29 |      g |  14.56 |  0.01 |       Swope | detected |                -99.9 |
| 59533.49 |      g |  14.42 |  0.01 |       Swope | detected |                -99.9 |
| 59534.29 |      g |  14.01 |  0.01 |       Swope | detected |                -99.9 |
| 59535.29 |      g |  13.59 |  0.01 |       Swope | detected |                -99.9 |
| 59535.49 |      g |  13.49 |  0.01 |       Swope | detected |                -99.9 |
| 59536.29 |      g |  13.23 |  0.01 |       Swope | detected |                -99.9 |
| 59536.49 |      g |  13.15 |  0.01 |       Swope | detected |                -99.9 |
| 59537.29 |      g |  12.93 |  0.01 |       Swope | detected |                -99.9 |
| 59537.39 |      g |  12.92 |  0.01 |       Swope | detected |                -99.9 |
| 59538.19 |      g |  12.72 |  0.01 |       Swope | detected |                -99.9 |
| 59538.39 |      g |  12.69 |  0.01 |       Swope | detected |                -99.9 |
| 59539.29 |      g |  12.55 |  0.01 |       Swope | detected |                -99.9 |
| 59539.49 |      g |  12.53 |  0.01 |       Swope | detected |                -99.9 |
| 59540.19 |      g |  12.41 |  0.01 |       Swope | detected |                -99.9 |
| 59540.39 |      g |  12.38 |  0.01 |       Swope | detected |                -99.9 |
| 59541.19 |      g |  12.29 |  0.01 |       Swope | detected |                -99.9 |
| 59530.39 |      V | 16.084 |  0.01 |       Swope | detected |                -99.9 |
| 59530.59 |      V | 15.974 |  0.01 |       Swope | detected |                -99.9 |
| 59531.39 |      V | 15.424 |  0.01 |       Swope | detected |                -99.9 |
| 59532.29 |      V | 14.904 |  0.01 |       Swope | detected |                -99.9 |
| 59532.49 |      V | 14.784 |  0.01 |       Swope | detected |                -99.9 |
| 59533.29 |      V | 14.384 |  0.01 |       Swope | detected |                -99.9 |
| 59533.49 |      V | 14.284 |  0.01 |       Swope | detected |                -99.9 |
| 59534.29 |      V | 13.944 |  0.01 |       Swope | detected |                -99.9 |
| 59534.49 |      V | 13.844 |  0.01 |       Swope | detected |                -99.9 |
| 59535.29 |      V | 13.584 |  0.01 |       Swope | detected |                -99.9 |
| 59535.49 |      V | 13.524 |  0.01 |       Swope | detected |                -99.9 |
| 59536.29 |      V | 13.264 |  0.01 |       Swope | detected |                -99.9 |
