|    obsdate | filter |    mag | e_mag |  observatory |   status | [mag_cor-mag_origin] |
| 59577.5657 |      i | 13.223 | 0.021 |         LSGT | detected |               -0.129 |
|  59578.575 |      i | 13.239 | 0.022 |         LSGT | detected |               -0.129 |
|  59581.652 |      i | 13.385 | 0.044 |         LSGT | detected |               -0.129 |
|  59592.466 |      i | 14.048 | 0.036 |         LSGT | detected |               -0.129 |
|  59593.468 |      i | 14.097 | 0.044 |         LSGT | detected |               -0.129 |
| 59599.5213 |      i | 14.294 | 0.044 |         LSGT | detected |               -0.129 |
|  59600.511 |      i | 14.355 | 0.047 |         LSGT | detected |               -0.129 |
| 59601.5203 |      i | 14.385 | 0.044 |         LSGT | detected |               -0.129 |
|  59602.528 |      i | 14.479 | 0.055 |         LSGT | detected |               -0.129 |
|  59617.469 |      i |  15.03 | 0.036 |         LSGT | detected |               -0.129 |
|  59619.468 |      i | 15.046 | 0.047 |         LSGT | detected |               -0.129 |
| 59620.4577 |      i | 15.122 | 0.038 |         LSGT | detected |               -0.129 |
| 59622.4557 |      i | 15.155 | 0.037 |         LSGT | detected |               -0.129 |
| 59623.4523 |      i | 15.187 | 0.037 |         LSGT | detected |               -0.129 |
| 59626.5443 |      i | 15.342 |  0.04 |         LSGT | detected |               -0.129 |
|  59652.521 |      i | 16.156 | 0.035 |         LSGT | detected |               -0.129 |
|  59653.508 |      i | 16.134 | 0.048 |         LSGT | detected |               -0.129 |
|  59658.463 |      i | 16.257 | 0.054 |         LSGT | detected |               -0.129 |
| 59659.4847 |      i | 16.365 | 0.032 |         LSGT | detected |               -0.129 |
|  59660.473 |      i | 16.487 | 0.032 |         LSGT | detected |               -0.129 |
|  59670.419 |      i |  16.61 | 0.047 |         LSGT | detected |               -0.129 |
| 59532.2024 |      r | 14.675 | 0.062 |       RASA36 | detected |               -0.179 |
| 59533.1516 |      r | 14.179 | 0.056 |       RASA36 | detected |               -0.179 |
| 59535.1425 |      r | 13.321 | 0.053 |       RASA36 | detected |               -0.179 |
| 59536.1575 |      r | 13.013 | 0.052 |       RASA36 | detected |               -0.179 |
| 59539.2741 |      r | 12.422 | 0.051 |       RASA36 | detected |               -0.179 |
| 59540.2569 |      r | 12.299 | 0.051 |       RASA36 | detected |               -0.179 |
| 59544.2265 |      r | 12.058 | 0.051 |       RASA36 | detected |               -0.179 |
|  59545.318 |      r | 11.911 | 0.066 |       RASA36 | detected |               -0.179 |
| 59558.2395 |      r | 12.399 | 0.045 |       RASA36 | detected |               -0.179 |
| 59559.2091 |      r | 12.381 | 0.065 |       RASA36 | detected |               -0.179 |
| 59560.1834 |      r | 12.426 | 0.045 |       RASA36 | detected |               -0.179 |
| 59561.2001 |      r | 12.512 | 0.045 |       RASA36 | detected |               -0.179 |
| 59563.1345 |      r | 12.658 | 0.029 |       RASA36 | detected |               -0.179 |
| 59564.1485 |      r | 12.685 | 0.029 |       RASA36 | detected |               -0.179 |
| 59566.2759 |      r | 12.821 | 0.029 |       RASA36 | detected |               -0.179 |
| 59570.2196 |      r | 12.713 | 0.045 |       RASA36 | detected |               -0.179 |
| 59572.2686 |      r | 12.631 |  0.05 |       RASA36 | detected |               -0.179 |
| 59574.2037 |      r | 12.843 | 0.061 |       RASA36 | detected |               -0.179 |
| 59576.1996 |      r | 12.784 | 0.046 |       RASA36 | detected |               -0.179 |
| 59577.2542 |      r | 12.835 | 0.046 |       RASA36 | detected |               -0.179 |
|  59584.298 |      r | 13.249 | 0.047 |       RASA36 | detected |               -0.179 |
|  59585.263 |      r | 13.318 | 0.048 |       RASA36 | detected |               -0.179 |
| 59586.2346 |      r | 13.355 | 0.048 |       RASA36 | detected |               -0.179 |
| 59587.2195 |      r | 13.441 | 0.048 |       RASA36 | detected |               -0.179 |
| 59588.1571 |      r | 13.464 | 0.051 |       RASA36 | detected |               -0.179 |
| 59589.1571 |      r | 13.509 | 0.048 |       RASA36 | detected |               -0.179 |
| 59592.1875 |      r | 13.625 | 0.048 |       RASA36 | detected |               -0.179 |
|  59593.211 |      r | 13.706 |  0.06 |       RASA36 | detected |               -0.179 |
| 59597.2063 |      r | 13.794 |  0.05 |       RASA36 | detected |               -0.179 |
| 59599.1947 |      r | 13.876 |  0.05 |       RASA36 | detected |               -0.179 |
| 59601.1696 |      r | 13.925 | 0.049 |       RASA36 | detected |               -0.179 |
| 59603.1609 |      r |  14.01 |  0.05 |       RASA36 | detected |               -0.179 |
| 59607.1298 |      r |  14.12 |  0.05 |       RASA36 | detected |               -0.179 |
| 59611.1753 |      r |  14.27 | 0.055 |       RASA36 | detected |               -0.179 |
