,cen_RA,cen_Dec,rate_sum,GLADE
0,50.879999999999995,-36.999999999999886,606168.94,"[1150788, 1150831, 1150855, 1158255, 1262976, 1328918, 2120632, 2121666]"
1,302.09999999999997,-48.65999999999991,417338.7,"[1150814, 1150839, 1151331, 1154055, 1157189, 2015131]"
2,167.47999999999996,-36.999999999999886,390219.88,"[1150810, 1151089, 1151141, 1151244, 1151292, 11573207, 11573207]"
3,158.99999999999997,-27.459999999999866,366212.38,"[1151055, 1152092, 1154762, 1155564, 1156789, 1157553, 1161158, 1161911, 1163260, 1163856, 1167132, 1168433, 1171452, 1261193, 1261240, 1322760, 1326377, 1326389, 1326411, 1326413, 1329616, 1331271, 2014989, 2265039, 2265044, 2265052]"
4,330.71999999999997,-31.699999999999875,331385.72,"[1150931, 1155039, 1158734, 1160183, 1164830, 1171834, 1261156, 1261317, 1330828, 1330830, 1330831, 2612428, 2615938]"
5,192.91999999999996,-26.399999999999864,316564.47,"[1150924, 1151398, 1151490, 1151498, 1151690, 1154187, 1156319, 1157721, 1170883, 1263840, 2393191]"
6,191.85999999999996,-41.239999999999895,311753.9,"[1150809, 1151192, 1151615, 1151782, 1152075, 1152078, 1156726, 1159256, 1168531, 1168534, 1263474, 1264128, 1264459, 1324681, 1324683, 1325440, 1325874, 1329904, 1329906, 2389746, 2389749, 12998367, 12998569]"
7,74.19999999999999,-5.199999999999818,297838.12,"[1150879, 1158526, 1164816, 1263987, 1329073]"
8,167.47999999999996,-38.05999999999989,283884.97,"[1150810, 1151141, 1325910, 1325916, 11573207, 11573207]"
9,187.61999999999998,13.880000000000223,273492.22,"[199, 219, 223, 87824, 87842, 1024450, 1024633, 2377329]"
10,226.83999999999997,1.1600000000001955,264746.22,"[84704, 84719, 84721, 88173, 88174, 88177, 89322, 1024437, 1024538, 1024750, 1024848, 1042899, 1042900, 1043222, 1043843, 2513157, 2513170, 2513228, 2513287, 22359287]"
11,185.49999999999997,5.400000000000205,260608.48,"[318, 419, 435, 551, 83354, 83380, 87766, 1024497, 1025072, 1025127, 1029178, 1030111, 1031160, 1035477, 1042537, 2368197, 2368263, 2368264, 2368265, 2368273, 2368302, 2368305, 2368344]"
12,191.85999999999996,-8.379999999999825,252656.23,"[1153741, 1170514, 1261094, 2388773]"
13,184.43999999999997,5.400000000000205,251548.08,"[419, 435, 551, 2139, 83354, 88767, 88768, 89210, 1024455, 1025072, 1025727, 1028721, 1028946, 1032190, 1042512, 1042515, 1042522, 1042523, 1043280, 2362898, 2368289, 2368291, 2368338, 2368339, 2368340]"
14,344.49999999999994,-35.939999999999884,247985.56,"[1150801, 1151625, 1151826, 1160468, 1262294, 1330930, 2642380]"
15,186.55999999999997,-40.17999999999989,239462.9,"[1261329, 1329848, 1329849]"
16,344.49999999999994,-36.999999999999886,237310.75,"[1150801, 1208828, 1261293, 1261396, 1261443, 1330929, 1330930]"
17,54.05999999999999,-34.87999999999988,228574.08,"[1150901, 1150916, 1150944, 1151293, 1151799, 1152981, 1155286, 1168331, 1261105, 5961645]"
18,198.21999999999997,-18.979999999999848,219060.0,"[1150842, 1151442, 1151631, 1160267, 1171565, 1330007]"
19,284.0799999999999,-53.95999999999992,213441.25,"[1150872, 1152033, 1152741, 1210194, 1261337, 1330518]"
20,196.09999999999997,-30.639999999999873,206577.75,"[1151591, 1151734, 1151749, 1261138, 1262272, 1263096, 1329977, 2400104]"
21,67.83999999999999,1.1600000000001955,200989.34,"[287, 86935, 86938, 1024568, 1032075]"
22,190.79999999999998,-41.239999999999895,198897.89,"[1150947, 1157935, 1168523, 1261245, 1261665, 1329889]"
23,149.45999999999998,-26.399999999999864,197659.19,"[1150861, 1151053, 1152581, 1329524]"
24,198.21999999999997,-20.03999999999985,196204.64,"[1150842, 1151631, 1153282, 1169495, 1264971, 1330007]"
25,288.31999999999994,-56.07999999999993,194948.28,"[1150939, 1151467, 1171694, 1262960, 1265098, 1330554]"
26,230.01999999999995,-24.27999999999986,185121.28,"[1150873, 1150882, 1151740, 1152902, 1159545, 1170182, 1171652, 2015121, 2521599, 2521600, 2521601, 2521602]"
27,189.73999999999998,9.640000000000214,183318.95,"[4407, 83473, 87872, 88844, 1024461, 1024520, 1024560, 1044157, 2384232, 2384259]"
28,23.319999999999997,-7.319999999999823,181147.92,"[1150817, 1150998, 1152955, 1170538, 1261154, 1262530, 1328743, 4159929]"
29,213.05999999999997,-3.0799999999998136,178712.9,"[1150893, 1151269, 1326953, 1331810, 2468685, 22333123]"
