obj ra dec priority note dist ebv muvmag maxaxis minaxis
258 319.06 -48.66 50118.703 [1150910] 100 0 -20 10 10
257 180.2 61.58 50118.703 [1024468] 100 0 -20 10 10
256 133.56 50.98 50118.703 [237] 100 0 -20 10 10
254 325.42 -63.5 50118.703 [1151173] 100 0 -20 10 10
253 132.5 60.52 50118.703 [317] 100 0 -20 10 10
252 271.36 25.54 50118.703 [1025045] 100 0 -20 10 10
251 306.34 -44.42 50118.703 [1151067] 100 0 -20 10 10
261 181.26 10.7 49890.14 "[1025745, 1025757, 2354801]" 100 0 -20 10 10
262 126.14 22.36 49210.47 "[84534, 85149, 87186, 1024744, 1025305, 2166871, 22204217, 22204245]" 100 0 -20 10 10
263 306.34 -25.34 48803.65 "[1154935, 1261213, 1331254]" 100 0 -20 10 10
264 330.72 -32.76 48765.176 "[1151588, 1155677, 1169718, 1171835, 1326083, 1326095, 1330826, 1330836, 2614755]" 100 0 -20 10 10
265 74.2 -4.14 48479.508 "[1152505, 1158526, 1169233, 1324491]" 100 0 -20 10 10
266 221.54 -22.16 48091.27 "[1158938, 1164463, 1259870, 1261501, 1326530]" 100 0 -20 10 10
267 150.52 72.18 47753.992 "[1024736, 1025905]" 100 0 -20 10 10
268 26.5 27.66 46634.65 "[86072, 1025025, 1034284]" 100 0 -20 10 10
269 195.04 -14.74 46310.29 "[1150823, 1158413, 1160128, 1261202, 13231412]" 100 0 -20 10 10
270 177.02 -38.06 46224.832 "[1151682, 1153575, 1325212, 1329760]" 100 0 -20 10 10
271 177.02 -37.0 46224.832 "[1151682, 1153575, 1325212, 1329760]" 100 0 -20 10 10
272 186.56 16.0 45488.53 "[358, 87799, 1024681, 1025016, 1025113, 1040229, 2372526, 2372528, 22298251]" 100 0 -20 10 10
273 142.04 7.52 45155.203 "[1060, 87305, 89049, 1024782, 1025790]" 100 0 -20 10 10
274 177.02 56.28 45081.5 "[461, 1024485, 2331108]" 100 0 -20 10 10
275 1.06 16.0 45071.5 "[86507, 1024445]" 100 0 -20 10 10
276 339.2 -26.4 44872.695 "[1150915, 1151600, 2628894]" 100 0 -20 10 10
277 193.98 -29.58 44834.48 "[1151521, 1154479, 1329941]" 100 0 -20 10 10
278 306.34 -24.28 44822.58 "[1261213, 1331254]" 100 0 -20 10 10
279 190.8 -40.18 44822.58 "[1157935, 1261245]" 100 0 -20 10 10
280 190.8 2.22 43907.625 "[230, 1024428, 1042592, 2386897]" 100 0 -20 10 10
281 190.8 -7.32 43791.777 "[1151534, 1274347]" 100 0 -20 10 10
282 306.34 -43.36 43740.008 "[1151098, 1169447, 1169928, 2589333]" 100 0 -20 10 10
283 226.84 -11.56 43547.133 "[1151022, 1151283, 1330286]" 100 0 -20 10 10
284 147.34 -12.62 43541.883 "[1153518, 1153714, 1263427, 1324572]" 100 0 -20 10 10
285 159.0 13.88 43125.25 "[979, 89114, 1025000, 1027325]" 100 0 -20 10 10
286 215.18 4.34 43072.37 "[4456, 1024460, 1025067, 2476369]" 100 0 -20 10 10
287 76.32 -9.44 43052.633 "[1151079, 1170483, 1262740, 22193555]" 100 0 -20 10 10
288 157.94 -28.52 42972.984 "[1324601, 1329598]" 100 0 -20 10 10
289 185.5 75.36 42719.992 "[87773, 1024699, 1033924]" 100 0 -20 10 10
290 233.2 -3.08 42322.594 "[1151205, 1264650]" 100 0 -20 10 10
291 143.1 -16.86 41999.855 "[1152436, 1261182, 1263424, 2212206]" 100 0 -20 10 10
292 212.0 50.98 41943.305 "[85716, 88081, 88083, 89575, 90057, 1025080, 2462263, 2462264]" 100 0 -20 10 10
293 336.02 -3.08 41607.41 "[1151315, 1170663, 2624284, 2624291]" 100 0 -20 10 10
294 185.5 -39.12 41592.945 "[1161498, 1329840, 1329843, 1331920]" 100 0 -20 10 10
295 51.94 -32.76 41395.6 "[1157364, 1261264]" 100 0 -20 10 10
296 188.68 -39.12 41003.14 "[1151211, 1169978, 2014509]" 100 0 -20 10 10
297 56.18 -22.16 40967.793 "[1151028, 1151040]" 100 0 -20 10 10
298 180.2 2.22 40967.793 "[87677, 1024660]" 100 0 -20 10 10
299 198.22 -40.18 40890.14 "[1152515, 1171567, 1264973]" 100 0 -20 10 10
