obj ra dec priority note dist ebv muvmag maxaxis minaxis
39 200.34 -12.62 147591.61 "[1150909, 1153010, 1153059, 1153365, 1155201, 1171573, 1262340, 1324736, 2417408]" 100 0 -20 10 10
40 21.2 9.64 147337.14 "[375, 466, 1389, 3999, 86645, 1024448, 1025581, 1027879, 1028442, 1034729]" 100 0 -20 10 10
41 184.44 7.52 146263.02 "[313, 83335, 87753, 87758, 115771, 1024611, 1024657, 1038031, 2366488]" 100 0 -20 10 10
42 203.52 -33.82 143735.52 "[1169642, 1261299, 1261492, 1261637, 1325600, 1330087, 1330088, 2432185]" 100 0 -20 10 10
43 169.6 58.4 143457.28 "[263, 3499, 83203, 83204, 100957, 1024503, 2302560]" 100 0 -20 10 10
44 179.14 31.9 141583.53 "[407, 1243, 1521, 84518, 85386, 87654, 87657, 89924, 89928, 89930, 1025354, 1028857, 22285187]" 100 0 -20 10 10
45 184.44 6.46 140394.62 "[418, 430, 87757, 88769, 1024595, 1025833, 1032587, 1042514, 1042518, 1042519, 1042520, 1042522, 2362894, 2362896, 2362897, 2362898, 2362905, 2362964, 2368293, 2368296, 2368298, 2368427]" 100 0 -20 10 10
46 67.84 0.1 136146.98 "[86935, 1024568, 1027737, 1029640, 1153452]" 100 0 -20 10 10
47 55.12 -18.98 134392.11 "[1151338, 1153628, 1154669, 1157345, 1158003, 1168753, 1168754, 1168755, 1261099, 1264744]" 100 0 -20 10 10
48 199.28 -34.88 133992.27 "[1151084, 1151535, 1162383, 1264162, 1274052]" 100 0 -20 10 10
49 163.24 -32.76 133167.1 "[1151866, 1261252, 1261385]" 100 0 -20 10 10
50 224.72 -16.86 132677.25 "[1150887, 1261628, 1262536, 1324787, 2506700]" 100 0 -20 10 10
51 75.26 -11.56 130980.08 "[1151185, 1169589, 1170808, 1262136, 1329077]" 100 0 -20 10 10
52 198.22 -15.8 130292.67 "[1151357, 1151387, 1151616, 1157373, 1168785, 1330014, 2412683]" 100 0 -20 10 10
53 189.74 10.7 129602.516 "[83474, 87884, 1024461, 1024520, 2382006]" 100 0 -20 10 10
54 154.76 22.36 127373.875 "[272, 4301, 85144, 1032915, 1040379, 2248532, 2250168]" 100 0 -20 10 10
55 64.66 2.22 127364.93 "[86920, 86922, 86924, 94867, 1025139, 1025337, 1025390, 1030754, 1032796]" 100 0 -20 10 10
56 53.0 -35.94 127108.336 "[1168323, 1261095, 1332888, 2125654, 5870850]" 100 0 -20 10 10
57 42.4 8.58 126892.516 "[97867, 1024548]" 100 0 -20 10 10
58 197.16 -24.28 126251.59 "[1151235, 1151752, 1261378, 1263265, 1326516, 1331138, 2406489, 13280171, 13280775]" 100 0 -20 10 10
60 179.14 -13.68 125892.516 [1261134] 100 0 -20 10 10
61 42.4 7.52 125892.516 [1024548] 100 0 -20 10 10
59 320.12 -48.66 125892.516 [1150811] 100 0 -20 10 10
62 331.78 -49.72 125553.12 "[1150919, 1152642, 1263030]" 100 0 -20 10 10
63 133.56 -3.08 124564.47 "[1151103, 1151120, 1151151, 1151487, 1151646, 1152355, 1165921, 1261498]" 100 0 -20 10 10
64 325.42 -42.3 124318.516 "[1151041, 1171820, 1330792, 20071619]" 100 0 -20 10 10
65 186.56 5.4 122320.9 "[2211, 87795, 1024587, 1040580, 1042556, 1044141, 2368197, 2373629, 2373631]" 100 0 -20 10 10
66 55.12 -23.22 121491.76 "[1150803, 1151481, 1156424, 1171258]" 100 0 -20 10 10
67 192.92 -41.24 120774.234 "[1151590, 1151655, 1154742, 1156509, 1156745, 1168539, 1261370, 1263492, 1324690, 1325441, 1325852, 1325855, 1325856, 2397437]" 100 0 -20 10 10
68 159.0 -28.52 117066.914 "[1151533, 1152127, 1153348, 1156284, 1156592, 1159525, 1171450, 1171452, 1263433, 1326350, 2267225]" 100 0 -20 10 10
69 27.56 22.36 116224.516 "[337, 4025, 86682, 86686, 1024574, 1024734, 1039836]" 100 0 -20 10 10
70 198.22 -42.3 107943.28 "[1330006, 2014925]" 100 0 -20 10 10
71 186.56 -39.12 107717.77 "[1150859, 1151092, 1169980, 1329850, 2369954]" 100 0 -20 10 10
72 195.04 -4.14 107152.35 "[1151090, 1170784, 1262076, 1326905, 2405083, 2405086, 2405090]" 100 0 -20 10 10
73 197.16 -23.22 106606.5 "[1151336, 1151925, 1159936, 1261378, 1326516, 1328590, 1329989, 2409443]" 100 0 -20 10 10
74 75.26 -10.5 103225.05 "[1151185, 1324495, 2014841]" 100 0 -20 10 10
75 51.94 -30.64 102977.91 "[1150825, 1328924, 2123108, 2123259]" 100 0 -20 10 10
76 45.58 -26.4 102906.47 "[1150840, 1331026]" 100 0 -20 10 10
78 137.8 59.46 102906.47 "[87268, 1024444]" 100 0 -20 10 10
77 137.8 60.52 102906.47 "[87268, 1024444]" 100 0 -20 10 10
79 186.56 18.12 101995.266 "[87797, 1024529]" 100 0 -20 10 10
80 301.04 -48.66 101774.67 "[1151071, 1168649, 1264095, 1264099]" 100 0 -20 10 10
81 199.28 -35.94 101192.44 "[1151084, 1274052, 1325941]" 100 0 -20 10 10
82 225.78 1.16 100477.45 "[236, 84728, 88732, 90788, 1024563, 1042892, 1043235, 2508353, 2508394, 2508407, 2508417, 2513217]" 100 0 -20 10 10
83 174.9 -38.06 100442.12 "[1261250, 1331211, 2332611]" 100 0 -20 10 10
84 188.68 7.52 100271.14 "[87839, 1024480, 2381817]" 100 0 -20 10 10
85 305.28 -48.66 100100.0 "[1261153, 18833468]" 100 0 -20 10 10
86 189.74 7.52 100063.09 "[87875, 1024480]" 100 0 -20 10 10
87 65.72 -57.14 100000.0 [1261118] 100 0 -20 10 10
88 55.12 -26.4 99741.516 "[1150797, 1151852, 1331209, 2127153]" 100 0 -20 10 10
89 197.16 -5.2 99385.48 "[1151356, 1154019]" 100 0 -20 10 10
90 344.5 -43.36 98699.61 "[1150830, 1152889, 1330931]" 100 0 -20 10 10
91 44.52 3.28 98274.266 "[1024745, 1026339, 1026361, 1028872]" 100 0 -20 10 10
92 186.56 12.82 96973.32 "[7, 8, 200, 226, 279, 311, 413, 34968, 83389, 83397, 83398, 83427, 87813, 1027665, 1030322, 1042561, 1044138, 2374067, 2374252, 2377241, 12667738]" 100 0 -20 10 10
