# t        U        B        V        R       
  0.1100  18.9687  16.0191  13.7390  12.1813
  0.1105  18.9687  16.0191  13.7390  12.1813
  0.1110   7.5925   5.2397   3.0036   1.4526
  0.1115  -5.3827  -6.1687  -6.6784  -7.1241
  0.1120  -7.9430  -8.2531  -8.2448  -8.4678
  0.1125  -8.6710  -8.7845  -8.6331  -8.7638
  0.1130  -8.9802  -9.0161  -8.8196  -8.9263
  0.1135  -9.1808  -9.1761  -8.9543  -9.0462
  0.1140  -9.3330  -9.3010  -9.0620  -9.1423
  0.1146  -9.4642  -9.4098  -9.1565  -9.2273
  0.1151  -9.5806  -9.5093  -9.2456  -9.3072
  0.1156  -9.6831  -9.5995  -9.3286  -9.3805
  0.1161  -9.7753  -9.6817  -9.4059  -9.4486
  0.1166  -9.8579  -9.7567  -9.4775  -9.5120
  0.1172  -9.9310  -9.8240  -9.5431  -9.5694
  0.1177  -9.9957  -9.8850  -9.6043  -9.6212
  0.1182 -10.0555  -9.9420  -9.6616  -9.6704
  0.1188 -10.1102  -9.9940  -9.7149  -9.7160
  0.1193 -10.1613 -10.0433  -9.7648  -9.7591
  0.1199 -10.2087 -10.0889  -9.8115  -9.7992
  0.1204 -10.2531 -10.1318  -9.8556  -9.8372
  0.1209 -10.2950 -10.1724  -9.8975  -9.8733
  0.1215 -10.3348 -10.2109  -9.9374  -9.9080
  0.1220 -10.3730 -10.2484  -9.9759  -9.9419
  0.1226 -10.4093 -10.2838 -10.0120  -9.9736
  0.1231 -10.4434 -10.3168 -10.0461 -10.0034
  0.1237 -10.4768 -10.3494 -10.0793 -10.0328
  0.1243 -10.5079 -10.3795 -10.1104 -10.0602
  0.1248 -10.5384 -10.4092 -10.1407 -10.0870
  0.1254 -10.5680 -10.4383 -10.1705 -10.1131
  0.1260 -10.5962 -10.4658 -10.1990 -10.1379
  0.1265 -10.6241 -10.4931 -10.2268 -10.1625
  0.1271 -10.6505 -10.5191 -10.2536 -10.1861
  0.1277 -10.6764 -10.5444 -10.2793 -10.2089
  0.1282 -10.7012 -10.5686 -10.3040 -10.2308
  0.1288 -10.7253 -10.5921 -10.3281 -10.2521
  0.1294 -10.7491 -10.6154 -10.3517 -10.2733
  0.1300 -10.7721 -10.6379 -10.3746 -10.2937
  0.1306 -10.7947 -10.6599 -10.3970 -10.3139
  0.1312 -10.8161 -10.6810 -10.4185 -10.3332
  0.1318 -10.8372 -10.7016 -10.4396 -10.3522
  0.1324 -10.8583 -10.7223 -10.4605 -10.3711
  0.1330 -10.8789 -10.7425 -10.4809 -10.3898
  0.1336 -10.8981 -10.7614 -10.5004 -10.4075
  0.1342 -10.9176 -10.7806 -10.5198 -10.4253
  0.1348 -10.9369 -10.7995 -10.5390 -10.4427
  0.1354 -10.9557 -10.8180 -10.5578 -10.4601
  0.1360 -10.9742 -10.8363 -10.5764 -10.4773
  0.1366 -10.9915 -10.8535 -10.5940 -10.4935
  0.1372 -11.0091 -10.8709 -10.6116 -10.5100
  0.1379 -11.0267 -10.8882 -10.6291 -10.5260
  0.1385 -11.0448 -10.9060 -10.6469 -10.5420
  0.1391 -11.0616 -10.9225 -10.6636 -10.5573
  0.1397 -11.0788 -10.9394 -10.6806 -10.5730
  0.1404 -11.0955 -10.9563 -10.6975 -10.5887
  0.1410 -11.1119 -10.9725 -10.7137 -10.6038
  0.1416 -11.1279 -10.9884 -10.7298 -10.6187
  0.1423 -11.1442 -11.0044 -10.7459 -10.6337
  0.1429 -11.1602 -11.0203 -10.7619 -10.6485
  0.1436 -11.1758 -11.0358 -10.7775 -10.6632
  0.1442 -11.1916 -11.0514 -10.7932 -10.6778
  0.1449 -11.2072 -11.0668 -10.8088 -10.6923
  0.1455 -11.2225 -11.0820 -10.8241 -10.7067
  0.1462 -11.2369 -11.0965 -10.8388 -10.7203
  0.1468 -11.2522 -11.1116 -10.8538 -10.7339
  0.1475 -11.2666 -11.1259 -10.8681 -10.7472
  0.1482 -11.2813 -11.1403 -10.8825 -10.7606
  0.1489 -11.2960 -11.1547 -10.8968 -10.7738
  0.1495 -11.3101 -11.1686 -10.9107 -10.7867
  0.1502 -11.3237 -11.1824 -10.9245 -10.7995
  0.1509 -11.3379 -11.1964 -10.9384 -10.8123
  0.1516 -11.3520 -11.2102 -10.9521 -10.8251
  0.1522 -11.3660 -11.2239 -10.9658 -10.8378
  0.1529 -11.3798 -11.2375 -10.9793 -10.8504
  0.1536 -11.3934 -11.2509 -10.9927 -10.8629
  0.1543 -11.4068 -11.2641 -11.0059 -10.8753
  0.1550 -11.4200 -11.2772 -11.0189 -10.8875
  0.1557 -11.4331 -11.2902 -11.0319 -10.8997
  0.1564 -11.4462 -11.3030 -11.0447 -10.9116
  0.1571 -11.4589 -11.3157 -11.0573 -10.9235
  0.1578 -11.4710 -11.3283 -11.0698 -10.9352
  0.1586 -11.4841 -11.3409 -11.0821 -10.9465
  0.1593 -11.4964 -11.3530 -11.0942 -10.9580
  0.1600 -11.5090 -11.3658 -11.1069 -10.9700
  0.1607 -11.5211 -11.3778 -11.1188 -10.9814
  0.1615 -11.5330 -11.3897 -11.1306 -10.9926
  0.1622 -11.5452 -11.4017 -11.1426 -11.0039
  0.1629 -11.5572 -11.4136 -11.1545 -11.0151
  0.1637 -11.5690 -11.4254 -11.1663 -11.0263
  0.1644 -11.5814 -11.4377 -11.1785 -11.0378
  0.1651 -11.5929 -11.4491 -11.1899 -11.0486
  0.1659 -11.6045 -11.4607 -11.2015 -11.0596
  0.1666 -11.6162 -11.4723 -11.2131 -11.0707
  0.1674 -11.6279 -11.4839 -11.2247 -11.0817
  0.1681 -11.6390 -11.4952 -11.2360 -11.0925
  0.1689 -11.6502 -11.5063 -11.2471 -11.1032
  0.1697 -11.6616 -11.5176 -11.2584 -11.1138
  0.1704 -11.6730 -11.5288 -11.2695 -11.1244
  0.1712 -11.6843 -11.5400 -11.2807 -11.1350
  0.1720 -11.6955 -11.5511 -11.2917 -11.1455
  0.1728 -11.7067 -11.5622 -11.3028 -11.1560
  0.1735 -11.7179 -11.5733 -11.3138 -11.1665
  0.1743 -11.7291 -11.5843 -11.3248 -11.1770
  0.1751 -11.7401 -11.5952 -11.3357 -11.1874
  0.1759 -11.7511 -11.6061 -11.3466 -11.1978
  0.1767 -11.7619 -11.6169 -11.3574 -11.2081
  0.1775 -11.7725 -11.6278 -11.3682 -11.2186
  0.1783 -11.7831 -11.6388 -11.3792 -11.2292
  0.1791 -11.7937 -11.6494 -11.3898 -11.2393
  0.1799 -11.8044 -11.6600 -11.4003 -11.2495
  0.1807 -11.8149 -11.6704 -11.4108 -11.2595
  0.1816 -11.8256 -11.6810 -11.4213 -11.2695
  0.1824 -11.8373 -11.6929 -11.4328 -11.2806
  0.1832 -11.8469 -11.7022 -11.4421 -11.2896
  0.1840 -11.8568 -11.7122 -11.4521 -11.2993
  0.1849 -11.8671 -11.7224 -11.4623 -11.3091
  0.1857 -11.8773 -11.7326 -11.4724 -11.3189
  0.1865 -11.8875 -11.7428 -11.4826 -11.3286
  0.1874 -11.8977 -11.7529 -11.4926 -11.3384
  0.1882 -11.9079 -11.7630 -11.5028 -11.3481
  0.1891 -11.9181 -11.7732 -11.5129 -11.3579
  0.1899 -11.9281 -11.7833 -11.5230 -11.3678
  0.1908 -11.9379 -11.7934 -11.5331 -11.3776
  0.1917 -11.9479 -11.8034 -11.5431 -11.3873
  0.1925 -11.9579 -11.8133 -11.5530 -11.3969
  0.1934 -11.9679 -11.8233 -11.5630 -11.4065
  0.1943 -11.9778 -11.8332 -11.5728 -11.4161
  0.1952 -11.9880 -11.8432 -11.5828 -11.4257
  0.1960 -11.9979 -11.8530 -11.5926 -11.4352
  0.1969 -12.0077 -11.8628 -11.6024 -11.4446
  0.1978 -12.0174 -11.8725 -11.6120 -11.4540
  0.1987 -12.0271 -11.8821 -11.6216 -11.4633
  0.1996 -12.0368 -11.8919 -11.6313 -11.4728
  0.2005 -12.0464 -11.9018 -11.6412 -11.4826
  0.2014 -12.0560 -11.9114 -11.6508 -11.4918
  0.2023 -12.0676 -11.9232 -11.6626 -11.5036
  0.2032 -12.0756 -11.9309 -11.6700 -11.5106
  0.2042 -12.0847 -11.9401 -11.6792 -11.5196
  0.2051 -12.0940 -11.9496 -11.6886 -11.5289
  0.2060 -12.1035 -11.9590 -11.6981 -11.5381
  0.2070 -12.1129 -11.9684 -11.7075 -11.5474
  0.2079 -12.1222 -11.9778 -11.7169 -11.5566
  0.2088 -12.1316 -11.9872 -11.7262 -11.5657
  0.2098 -12.1411 -11.9965 -11.7356 -11.5748
  0.2107 -12.1503 -12.0058 -11.7448 -11.5839
  0.2117 -12.1596 -12.0152 -11.7542 -11.5931
  0.2126 -12.1689 -12.0247 -11.7636 -11.6024
  0.2136 -12.1782 -12.0339 -11.7728 -11.6114
  0.2146 -12.1875 -12.0432 -11.7820 -11.6205
  0.2155 -12.1969 -12.0525 -11.7913 -11.6295
  0.2165 -12.2062 -12.0618 -11.8006 -11.6386
  0.2175 -12.2155 -12.0711 -11.8098 -11.6477
  0.2185 -12.2246 -12.0802 -11.8189 -11.6567
  0.2195 -12.2337 -12.0893 -11.8281 -11.6657
  0.2205 -12.2429 -12.0985 -11.8373 -11.6748
  0.2215 -12.2521 -12.1078 -11.8465 -11.6838
  0.2225 -12.2613 -12.1172 -11.8559 -11.6932
  0.2235 -12.2706 -12.1266 -11.8652 -11.7023
  0.2245 -12.2811 -12.1372 -11.8757 -11.7129
  0.2255 -12.2890 -12.1450 -11.8832 -11.7201
  0.2265 -12.2975 -12.1534 -11.8917 -11.7286
  0.2275 -12.3063 -12.1623 -11.9005 -11.7373
  0.2286 -12.3152 -12.1712 -11.9094 -11.7461
  0.2296 -12.3241 -12.1801 -11.9183 -11.7549
  0.2306 -12.3331 -12.1892 -11.9274 -11.7639
  0.2317 -12.3422 -12.1982 -11.9363 -11.7728
  0.2327 -12.3512 -12.2072 -11.9453 -11.7816
  0.2338 -12.3602 -12.2162 -11.9542 -11.7904
  0.2348 -12.3690 -12.2250 -11.9631 -11.7992
  0.2359 -12.3777 -12.2338 -11.9719 -11.8080
  0.2370 -12.3866 -12.2427 -11.9808 -11.8168
  0.2380 -12.3956 -12.2517 -11.9897 -11.8256
  0.2391 -12.4045 -12.2606 -11.9986 -11.8344
  0.2402 -12.4135 -12.2695 -12.0075 -11.8431
  0.2413 -12.4224 -12.2784 -12.0163 -11.8519
  0.2424 -12.4318 -12.2879 -12.0257 -11.8612
  0.2435 -12.4407 -12.2968 -12.0345 -11.8699
  0.2446 -12.4495 -12.3055 -12.0432 -11.8785
  0.2457 -12.4583 -12.3143 -12.0519 -11.8872
  0.2468 -12.4671 -12.3231 -12.0607 -11.8959
  0.2479 -12.4759 -12.3319 -12.0694 -11.9045
  0.2490 -12.4847 -12.3407 -12.0782 -11.9132
  0.2502 -12.4942 -12.3502 -12.0876 -11.9225
  0.2513 -12.5029 -12.3589 -12.0961 -11.9310
  0.2524 -12.5111 -12.3671 -12.1042 -11.9392
  0.2536 -12.5194 -12.3754 -12.1125 -11.9476
  0.2547 -12.5281 -12.3840 -12.1211 -11.9561
  0.2559 -12.5369 -12.3927 -12.1298 -11.9646
  0.2570 -12.5458 -12.4014 -12.1385 -11.9732
  0.2582 -12.5546 -12.4102 -12.1471 -11.9818
  0.2594 -12.5633 -12.4188 -12.1557 -11.9903
  0.2605 -12.5721 -12.4277 -12.1645 -11.9991
  0.2617 -12.5810 -12.4365 -12.1733 -12.0078
  0.2629 -12.5898 -12.4452 -12.1819 -12.0163
  0.2641 -12.5986 -12.4539 -12.1906 -12.0249
  0.2653 -12.6075 -12.4627 -12.1993 -12.0335
  0.2665 -12.6163 -12.4714 -12.2079 -12.0420
  0.2677 -12.6250 -12.4799 -12.2164 -12.0505
  0.2689 -12.6336 -12.4885 -12.2249 -12.0589
  0.2701 -12.6422 -12.4970 -12.2335 -12.0674
  0.2713 -12.6510 -12.5059 -12.2422 -12.0761
  0.2726 -12.6597 -12.5145 -12.2508 -12.0847
  0.2738 -12.6682 -12.5230 -12.2592 -12.0931
  0.2750 -12.6767 -12.5315 -12.2676 -12.1015
  0.2763 -12.6853 -12.5400 -12.2761 -12.1100
  0.2775 -12.6952 -12.5497 -12.2857 -12.1195
  0.2788 -12.7035 -12.5579 -12.2937 -12.1273
  0.2800 -12.7116 -12.5660 -12.3017 -12.1354
  0.2813 -12.7199 -12.5743 -12.3100 -12.1437
  0.2826 -12.7284 -12.5827 -12.3184 -12.1521
  0.2839 -12.7368 -12.5911 -12.3267 -12.1605
  0.2851 -12.7454 -12.5998 -12.3353 -12.1690
  0.2864 -12.7540 -12.6082 -12.3437 -12.1774
  0.2877 -12.7625 -12.6167 -12.3521 -12.1858
  0.2890 -12.7710 -12.6251 -12.3605 -12.1942
  0.2903 -12.7794 -12.6335 -12.3689 -12.2026
  0.2917 -12.7878 -12.6418 -12.3772 -12.2109
  0.2930 -12.7962 -12.6503 -12.3855 -12.2193
  0.2943 -12.8047 -12.6587 -12.3940 -12.2277
  0.2956 -12.8134 -12.6673 -12.4025 -12.2362
  0.2970 -12.8222 -12.6760 -12.4111 -12.2448
  0.2983 -12.8312 -12.6850 -12.4200 -12.2535
  0.2997 -12.8398 -12.6935 -12.4284 -12.2619
  0.3010 -12.8483 -12.7019 -12.4367 -12.2702
  0.3024 -12.8568 -12.7103 -12.4451 -12.2785
  0.3038 -12.8653 -12.7188 -12.4535 -12.2869
  0.3051 -12.8739 -12.7272 -12.4619 -12.2953
  0.3065 -12.8822 -12.7355 -12.4702 -12.3036
  0.3079 -12.9003 -12.7579 -12.4938 -12.3314
  0.3093 -12.8942 -12.7468 -12.4811 -12.3123
  0.3107 -12.9043 -12.7568 -12.4908 -12.3217
  0.3121 -12.9137 -12.7659 -12.4997 -12.3303
  0.3135 -12.9226 -12.7747 -12.5082 -12.3388
  0.3149 -12.9314 -12.7832 -12.5166 -12.3471
  0.3163 -12.9400 -12.7917 -12.5250 -12.3555
  0.3178 -12.9485 -12.8001 -12.5333 -12.3638
  0.3192 -12.9573 -12.8088 -12.5419 -12.3723
  0.3207 -12.9658 -12.8172 -12.5501 -12.3805
  0.3221 -12.9744 -12.8256 -12.5585 -12.3888
  0.3236 -12.9830 -12.8341 -12.5669 -12.3972
  0.3250 -12.9916 -12.8425 -12.5752 -12.4055
  0.3265 -13.0001 -12.8509 -12.5835 -12.4139
  0.3280 -13.0087 -12.8594 -12.5919 -12.4222
  0.3295 -13.0173 -12.8679 -12.6003 -12.4306
  0.3310 -13.0258 -12.8763 -12.6087 -12.4389
  0.3325 -13.0347 -12.8850 -12.6172 -12.4474
  0.3340 -13.0438 -12.8941 -12.6261 -12.4562
  0.3355 -13.0523 -12.9025 -12.6344 -12.4645
  0.3370 -13.0610 -12.9110 -12.6428 -12.4728
  0.3385 -13.0697 -12.9194 -12.6511 -12.4811
  0.3400 -13.0781 -12.9278 -12.6594 -12.4893
  0.3416 -13.0866 -12.9362 -12.6677 -12.4976
  0.3431 -13.0952 -12.9446 -12.6760 -12.5059
  0.3447 -13.1094 -12.9589 -12.6901 -12.5203
  0.3462 -13.1142 -12.9633 -12.6941 -12.5237
  0.3478 -13.1219 -12.9707 -12.7012 -12.5306
  0.3494 -13.1299 -12.9785 -12.7090 -12.5383
  0.3510 -13.1383 -12.9868 -12.7172 -12.5465
  0.3525 -13.1466 -12.9950 -12.7252 -12.5546
  0.3541 -13.1548 -13.0031 -12.7333 -12.5626
  0.3557 -13.1632 -13.0114 -12.7415 -12.5708
  0.3574 -13.1715 -13.0196 -12.7497 -12.5790
  0.3590 -13.1799 -13.0279 -12.7579 -12.5872
  0.3606 -13.1883 -13.0361 -12.7661 -12.5954
  0.3622 -13.1967 -13.0444 -12.7743 -12.6036
  0.3639 -13.2051 -13.0527 -12.7825 -12.6118
  0.3655 -13.2141 -13.0616 -12.7912 -12.6205
  0.3672 -13.2225 -13.0699 -12.7993 -12.6286
  0.3688 -13.2309 -13.0781 -12.8074 -12.6367
  0.3705 -13.2394 -13.0864 -12.8156 -12.6448
  0.3722 -13.2478 -13.0946 -12.8237 -12.6530
  0.3739 -13.2562 -13.1029 -12.8319 -12.6611
  0.3755 -13.2647 -13.1111 -12.8401 -12.6693
  0.3772 -13.2732 -13.1195 -12.8483 -12.6776
  0.3790 -13.2818 -13.1281 -12.8567 -12.6859
  0.3807 -13.2900 -13.1361 -12.8646 -12.6939
