|            obsdate |    mag |                 e_mag | magsys | filter | depth_5sig |     zp | observatory | detected | A_filter |
|  59526.75139583321 |        |                       |     AB |      r |     19.809 | 19.809 |        LSGT |    False |    -0.02 |
|  59533.70009259321 | 14.093 |   0.00784480082602484 |     AB |      r |      19.33 |  19.33 |        LSGT |     True |    -0.02 |
|  59534.63394444389 | 13.699 |  0.006317721108121187 |     AB |      r |     19.433 | 19.433 |        LSGT |     True |    -0.02 |
|  59577.55899999989 | 13.068 |  0.006191897931975301 |     AB |      r |     20.375 | 20.375 |        LSGT |     True |    -0.02 |
|  59578.56833333289 | 13.098 |  0.006628906395477311 |     AB |      r |     19.841 | 19.841 |        LSGT |     True |    -0.02 |
|  59581.64500000002 | 13.291 | 0.0064807715590043755 |     AB |      r |     20.077 | 20.077 |        LSGT |     True |    -0.02 |
|   59592.4589999998 | 13.865 |  0.006829172717101245 |     AB |      r |      19.28 |  19.28 |        LSGT |     True |    -0.02 |
|  59593.46266666707 |  13.91 | 0.0066393071927724505 |     AB |      r |     19.923 | 19.923 |        LSGT |     True |    -0.02 |
|  59599.51466666721 | 14.108 |  0.007591765275612781 |     AB |      r |     19.819 | 19.819 |        LSGT |     True |    -0.02 |
| 59600.507999999914 | 14.135 |  0.007745844046971253 |     AB |      r |     18.821 | 18.821 |        LSGT |     True |    -0.02 |
|  59601.51399999997 |  14.17 |  0.007392563831310488 |     AB |      r |     19.735 | 19.735 |        LSGT |     True |    -0.02 |
|  59602.52166666603 | 14.205 |  0.007515317691222374 |     AB |      r |     19.828 | 19.828 |        LSGT |     True |    -0.02 |
|  59617.46266666707 |  14.67 |  0.007726506325629974 |     AB |      r |     20.302 | 20.302 |        LSGT |     True |    -0.02 |
|  59619.46100000013 | 14.743 |  0.007583824892493233 |     AB |      r |     19.843 | 19.843 |        LSGT |     True |    -0.02 |
|  59620.45300000021 | 14.736 |  0.022261313977391364 |     AB |      r |     17.066 | 17.066 |        LSGT |     True |    -0.02 |
|  59622.44900000002 | 14.842 |   0.00819319229604676 |     AB |      r |     19.864 | 19.864 |        LSGT |     True |    -0.02 |
| 59623.445999999996 | 14.869 |  0.008384515489877753 |     AB |      r |     19.844 | 19.844 |        LSGT |     True |    -0.02 |
| 59626.538000000175 | 14.982 |  0.008718164944528177 |     AB |      r |     19.025 | 19.025 |        LSGT |     True |    -0.02 |
| 59652.515333333984 | 15.735 |  0.011676883145771392 |     AB |      r |     19.141 | 19.141 |        LSGT |     True |    -0.02 |
| 59653.501000000164 | 15.789 |  0.012646485677847423 |     AB |      r |     19.083 | 19.083 |        LSGT |     True |    -0.02 |
|  59657.52400000021 | 15.888 |  0.018316069447345956 |     AB |      r |      18.53 |  18.53 |        LSGT |     True |    -0.02 |
|  59658.45699999994 |  15.92 |  0.014846157752091953 |     AB |      r |     18.851 | 18.851 |        LSGT |     True |    -0.02 |
|  59659.47800000012 | 15.943 |  0.012631136132589182 |     AB |      r |     19.304 | 19.304 |        LSGT |     True |    -0.02 |
| 59660.466000000015 | 16.021 |    0.0145948655355231 |     AB |      r |      19.13 |  19.13 |        LSGT |     True |    -0.02 |
|  59670.41200000001 | 16.276 |  0.014121434063153786 |     AB |      r |     20.472 | 20.472 |        LSGT |     True |    -0.02 |
| 59577.565666667186 | 13.329 |     0.012297983574554 |     AB |      i |     19.926 | 19.926 |        LSGT |     True |   -0.015 |
| 59578.575000000186 | 13.363 |  0.014091930314900084 |     AB |      i |     19.417 | 19.417 |        LSGT |     True |   -0.015 |
|  59581.65199999977 | 13.472 |  0.011652793656458523 |     AB |      i |     19.456 | 19.456 |        LSGT |     True |   -0.015 |
| 59592.466000000015 | 14.143 |  0.014155949279366609 |     AB |      i |     18.205 | 18.205 |        LSGT |     True |   -0.015 |
