|  obsdate |    mag | e_mag | magsys | filter | depth_5sig |  zp | observatory | detected | A_filter |
| 59530.39 | 16.994 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |   -0.396 |
| 59530.59 | 16.944 |  0.04 |     AB |      u |        nan | nan |       Swope |     True |   -0.396 |
| 59531.39 | 16.864 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |   -0.396 |
| 59532.29 | 16.374 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |   -0.396 |
| 59532.49 | 16.204 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |   -0.396 |
| 59533.29 | 15.634 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |   -0.396 |
| 59533.49 | 15.484 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |   -0.396 |
| 59534.29 | 14.944 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |   -0.396 |
| 59534.49 | 14.764 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |   -0.396 |
| 59535.29 | 14.304 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |   -0.396 |
| 59536.29 | 13.784 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |   -0.396 |
| 59536.49 | 13.664 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |   -0.396 |
| 59537.29 | 13.404 |  0.04 |     AB |      u |        nan | nan |       Swope |     True |   -0.396 |
| 59537.39 | 13.264 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |   -0.396 |
| 59538.19 | 13.004 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |   -0.396 |
| 59538.39 | 12.964 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |   -0.396 |
| 59539.29 | 12.774 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |   -0.396 |
| 59539.49 | 12.724 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |   -0.396 |
| 59540.19 | 12.584 |  0.01 |     AB |      u |        nan | nan |       Swope |     True |   -0.396 |
| 59540.39 | 12.524 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |   -0.396 |
| 59541.19 | 12.424 |  0.05 |     AB |      u |        nan | nan |       Swope |     True |   -0.396 |
| 59530.39 | 16.065 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59530.59 | 16.015 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59531.39 | 15.645 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59532.29 | 15.045 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59532.49 | 14.865 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59533.29 | 14.325 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59533.49 | 14.145 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59534.29 | 13.675 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59534.49 | 13.525 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59535.29 | 13.195 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59535.49 | 13.085 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59536.29 | 12.825 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59536.49 | 12.725 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59537.19 | 12.545 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59537.39 | 12.455 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59538.19 | 12.295 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59538.39 | 12.245 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59539.29 | 12.105 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59539.39 | 12.085 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59540.19 | 11.985 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59540.39 | 11.965 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59541.19 | 11.855 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |   -0.325 |
| 59530.39 | 15.966 |  0.01 |     AB |      g |        nan | nan |       Swope |     True |   -0.274 |
| 59530.59 | 15.876 |  0.01 |     AB |      g |        nan | nan |       Swope |     True |   -0.274 |
| 59531.39 | 15.436 |  0.01 |     AB |      g |        nan | nan |       Swope |     True |   -0.274 |
| 59532.29 | 14.876 |  0.01 |     AB |      g |        nan | nan |       Swope |     True |   -0.274 |
| 59532.49 | 14.706 |  0.01 |     AB |      g |        nan | nan |       Swope |     True |   -0.274 |
| 59533.29 | 14.256 |  0.01 |     AB |      g |        nan | nan |       Swope |     True |   -0.274 |
| 59533.49 | 14.116 |  0.01 |     AB |      g |        nan | nan |       Swope |     True |   -0.274 |
| 59534.29 | 13.706 |  0.01 |     AB |      g |        nan | nan |       Swope |     True |   -0.274 |
| 59535.29 | 13.286 |  0.01 |     AB |      g |        nan | nan |       Swope |     True |   -0.274 |
