|            obsdate |    mag |                 e_mag | magsys | filter | depth_5sig |     zp |  observatory | detected | A_filter |
| 59526.269416667055 |        |                       |     AB |      r |     20.046 | 20.046 |       RASA36 |    False |   -0.172 |
| 59529.331749999896 | 17.151 |   0.02443098237893843 |     AB |      r |     20.151 | 20.151 |       RASA36 |     True |   -0.172 |
| 59530.252499999944 | 15.822 |   0.01166823037139737 |     AB |      r |     19.966 | 19.966 |       RASA36 |     True |   -0.172 |
|  59578.20949999988 |  12.88 | 0.0025553864678361277 |     AB |      r |     20.552 | 20.552 |       RASA36 |     True |   -0.172 |
|  59579.20200000005 | 12.956 |   0.00260823695242591 |     AB |      r |     20.617 | 20.617 |       RASA36 |     True |   -0.172 |
| 59580.215749999974 | 12.943 | 0.0032735454785293577 |     AB |      r |     19.251 | 19.251 |       RASA36 |     True |   -0.172 |
|  59581.20200000005 | 13.009 |  0.002656990779058143 |     AB |      r |     20.532 | 20.532 |       RASA36 |     True |   -0.172 |
| 59582.188500000164 | 13.092 | 0.0027536339626028725 |     AB |      r |     20.587 | 20.587 |       RASA36 |     True |   -0.172 |
|  59583.25549999997 | 13.171 |  0.002884874347350331 |     AB |      r |     20.584 | 20.584 |       RASA36 |     True |   -0.172 |
|  59534.62732600281 | 13.379 |  0.011345576230408045 |     AB |      g |     19.725 | 19.725 |         LSGT |     True |   -0.274 |
| 59577.552333333064 | 13.682 |  0.011251262151421058 |     AB |      g |     20.938 | 20.938 |         LSGT |     True |   -0.274 |
|  59578.56199999899 | 13.745 |   0.01140043858805441 |     AB |      g |     20.351 | 20.351 |         LSGT |     True |   -0.274 |
| 59581.638666667044 | 13.947 |  0.011830980517269059 |     AB |      g |      20.72 |  20.72 |         LSGT |     True |   -0.274 |
| 59592.451666667126 | 14.336 |  0.011894120396229392 |     AB |      g |     19.593 | 19.593 |         LSGT |     True |   -0.274 |
|  59593.45599999977 | 14.358 |  0.012884486796143648 |     AB |      g |      20.04 |  20.04 |         LSGT |     True |   -0.274 |
|  59599.50766666699 | 14.469 |   0.01357280000589414 |     AB |      g |     19.708 | 19.708 |         LSGT |     True |   -0.274 |
|  59601.50733333314 | 14.491 |  0.013999157117483896 |     AB |      g |     20.086 | 20.086 |         LSGT |     True |   -0.274 |
|  59602.51500000013 |   14.5 |  0.012548007810007132 |     AB |      g |      20.45 |  20.45 |         LSGT |     True |   -0.274 |
|  59617.45599999977 | 14.735 |  0.011633211078631727 |     AB |      g |     20.581 | 20.581 |         LSGT |     True |   -0.274 |
|  59619.45466666715 |  14.76 |  0.015415239213194196 |     AB |      g |     20.394 | 20.394 |         LSGT |     True |   -0.274 |
| 59620.441999999806 |  14.78 |  0.017057268245530995 |     AB |      g |     18.265 | 18.265 |         LSGT |     True |   -0.274 |
| 59622.442333333194 | 14.801 |   0.01489597261007149 |     AB |      g |      19.74 |  19.74 |         LSGT |     True |   -0.274 |
|  59623.43899999978 | 14.814 |  0.013851747182214958 |     AB |      g |     19.653 | 19.653 |         LSGT |     True |   -0.274 |
|  59626.53133333288 | 14.889 |  0.015151884371258908 |     AB |      g |     18.463 | 18.463 |         LSGT |     True |   -0.274 |
|   59651.5410000002 | 15.249 |  0.015482444897366823 |     AB |      g |     18.688 | 18.688 |         LSGT |     True |   -0.274 |
|  59652.50900000008 | 15.257 |  0.014344647085237057 |     AB |      g |     18.979 | 18.979 |         LSGT |     True |   -0.274 |
|  59653.49466666579 | 15.271 |  0.015429274124209472 |     AB |      g |     18.846 | 18.846 |         LSGT |     True |   -0.274 |
|  59657.51800000016 | 15.296 |  0.019411594473406867 |     AB |      g |     18.166 | 18.166 |         LSGT |     True |   -0.274 |
| 59658.450000000186 | 15.338 |  0.016416893737854307 |     AB |      g |     18.838 | 18.838 |         LSGT |     True |   -0.274 |
| 59659.471333332825 | 15.354 |   0.01460693328525875 |     AB |      g |     19.273 | 19.273 |         LSGT |     True |   -0.274 |
