|            obsdate |                mag |                e_mag | magsys | filter | depth_5sig |     zp | observatory | detected |
|  59544.22860000003 |            12.7049 | 0.007715834368362245 |     AB |      i |     17.927 | 17.927 |         KCT |     True |
|  59545.21920000017 |           12.71035 |  0.00787949236943599 |     AB |      i |     18.125 | 18.125 |         KCT |     True |
|  59546.21980000101 |           12.71495 | 0.008144476655992085 |     AB |      i |     18.036 | 18.036 |         KCT |     True |
|   59547.2202000008 |             12.733 | 0.007745166234497489 |     AB |      i |      17.99 |  17.99 |         KCT |     True |
| 59548.221400000155 | 12.783299999999999 | 0.007743545699484184 |     AB |      i |     17.914 | 17.914 |         KCT |     True |
|  59549.20479999995 |            12.7876 | 0.007923515633858496 |     AB |      i |     18.081 | 18.081 |         KCT |     True |
|  59551.18940000003 |             12.863 | 0.008421644732473579 |     AB |      i |      17.81 |  17.81 |         KCT |     True |
|  59552.20750000002 |            12.9022 | 0.008082258347763946 |     AB |      i |     17.935 | 17.935 |         KCT |     True |
|  59553.20559999999 |           12.94225 |  0.00808935102464963 |     AB |      i |     18.197 | 18.197 |         KCT |     True |
|  59554.18940000003 |            13.0107 |  0.00819671275573324 |     AB |      i |     17.918 | 17.918 |         KCT |     True |
|  59555.19079999998 |            13.0854 | 0.008469527731815984 |     AB |      i |     18.041 | 18.041 |         KCT |     True |
|  59556.19119999977 |              13.17 | 0.008586157464197823 |     AB |      i |     17.873 | 17.873 |         KCT |     True |
|  59557.19219999993 |             13.257 | 0.008927485648266259 |     AB |      i |     18.186 | 18.186 |         KCT |     True |
| 59558.191999999806 | 13.352250000000002 | 0.009372299611087985 |     AB |      i |      17.97 |  17.97 |         KCT |     True |
