|   obsdate |    mag | e_mag |    magsys |  filter | depth_5sig |  zp |    observatory | detected | A_filter |
| 59529.343 |  17.25 |  0.03 | Undefined | Unfilte |        nan | nan |          DLT40 |     True |      0.0 |
| 59529.491 |   17.0 |  0.05 | Undefined | Unfilte |        nan | nan |          DLT40 |     True |      0.0 |
| 59529.492 |  16.97 |  0.05 | Undefined | Unfilte |        nan | nan |          DLT40 |     True |      0.0 |
| 59529.516 |  16.87 |  0.04 | Undefined | Unfilte |        nan | nan |          DLT40 |     True |      0.0 |
| 59529.527 |   16.9 |  0.05 | Undefined | Unfilte |        nan | nan |          DLT40 |     True |      0.0 |
| 59529.528 |  16.85 |  0.05 | Undefined | Unfilte |        nan | nan |          DLT40 |     True |      0.0 |
| 59529.529 |  16.76 |  0.05 | Undefined | Unfilte |        nan | nan |          DLT40 |     True |      0.0 |
| 59529.541 |   17.0 |  0.04 | Undefined | Unfilte |        nan | nan |          DLT40 |     True |      0.0 |
| 59529.546 |  16.94 |  0.05 | Undefined | Unfilte |        nan | nan |          DLT40 |     True |      0.0 |
| 59529.552 |  16.97 |  0.04 | Undefined | Unfilte |        nan | nan |          DLT40 |     True |      0.0 |
| 59529.582 |  16.92 |  0.04 | Undefined | Unfilte |        nan | nan |          DLT40 |     True |      0.0 |
| 59529.609 |  16.71 |  0.04 | Undefined | Unfilte |        nan | nan |          DLT40 |     True |      0.0 |
| 59529.712 |  16.55 |  0.03 | Undefined | Unfilte |        nan | nan |          DLT40 |     True |      0.0 |
| 59529.718 |  16.58 |  0.03 | Undefined | Unfilte |        nan | nan |          DLT40 |     True |      0.0 |
| 59529.745 |  16.52 |  0.05 | Undefined | Unfilte |        nan | nan |          DLT40 |     True |      0.0 |
| 59529.757 |  16.65 |  0.03 | Undefined | Unfilte |        nan | nan |          DLT40 |     True |      0.0 |
| 59529.765 |  18.46 |  0.22 |        AB |    UVW1 |        nan | nan |          Swift |     True |      0.0 |
| 59529.767 |  16.91 |   0.1 |        AB |     U_S |        nan | nan |          Swift |     True |      0.0 |
| 59529.768 |  16.86 |  0.07 |        AB |     B_S |        nan | nan |          Swift |     True |      0.0 |
| 59529.769 |  19.67 | 100.0 |        AB |    UVW2 |        nan | nan |          Swift |     True |      0.0 |
| 59529.772 |  16.54 |   0.1 |        AB |     V_S |        nan | nan |          Swift |     True |      0.0 |
| 59529.773 |  20.01 | 100.0 |        AB |    UVM2 |        nan | nan |          Swift |     True |      0.0 |
| 59529.774 |  16.53 |  0.02 | Undefined | Unfilte |        nan | nan |          DLT40 |     True |      0.0 |
| 59529.792 |  16.45 |  0.03 | Undefined | Unfilte |        nan | nan |          DLT40 |     True |      0.0 |
| 59529.792 | 16.776 |  0.04 |        AB |       U |        nan | nan |   LasCumbres1m |     True |   -0.387 |
| 59529.796 | 16.816 |  0.03 |        AB |       U |        nan | nan |   LasCumbres1m |     True |   -0.387 |
|   59529.8 | 16.362 |  0.02 |        AB |       B |        nan | nan |   LasCumbres1m |     True |   -0.325 |
|   59529.8 |  16.54 |  0.02 | Undefined | Unfilte |        nan | nan |          DLT40 |     True |      0.0 |
| 59529.802 | 16.302 |  0.02 |        AB |       B |        nan | nan |   LasCumbres1m |     True |   -0.325 |
| 59529.805 | 16.307 |  0.02 |        AB |       V |        nan | nan |   LasCumbres1m |     True |   -0.219 |
| 59529.807 | 16.347 |  0.02 |        AB |       V |        nan | nan |   LasCumbres1m |     True |   -0.219 |
| 59529.809 | 16.188 |  0.02 |        AB |       g |        nan | nan |   LasCumbres1m |     True |   -0.274 |
| 59529.811 | 16.218 |  0.02 |        AB |       g |        nan | nan |   LasCumbres1m |     True |   -0.274 |
