|  obsdate |                mag | e_mag | magsys | filter | depth_5sig |  zp | observatory | detected | A_filter |
| 59530.39 |              17.39 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |      0.0 |
| 59530.59 |              17.34 |  0.04 |     AB |      u |        nan | nan |       Swope |     True |      0.0 |
| 59531.39 |              17.26 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |      0.0 |
| 59532.29 |              16.77 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |      0.0 |
| 59532.49 |               16.6 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |      0.0 |
| 59533.29 |              16.03 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |      0.0 |
| 59533.49 |              15.88 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |      0.0 |
| 59534.29 |              15.34 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |      0.0 |
| 59534.49 |              15.16 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |      0.0 |
| 59535.29 |               14.7 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |      0.0 |
| 59536.29 |              14.18 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |      0.0 |
| 59536.49 |              14.06 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |      0.0 |
| 59537.29 |               13.8 |  0.04 |     AB |      u |        nan | nan |       Swope |     True |      0.0 |
| 59537.39 |              13.66 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |      0.0 |
| 59538.19 |               13.4 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |      0.0 |
| 59538.39 |              13.36 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |      0.0 |
| 59539.29 |              13.17 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |      0.0 |
| 59539.49 |              13.12 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |      0.0 |
| 59540.19 |              12.98 |  0.01 |     AB |      u |        nan | nan |       Swope |     True |      0.0 |
| 59540.39 |              12.92 |  0.02 |     AB |      u |        nan | nan |       Swope |     True |      0.0 |
| 59541.19 |              12.82 |  0.05 |     AB |      u |        nan | nan |       Swope |     True |      0.0 |
| 59530.39 |              16.39 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |      0.0 |
| 59530.59 |              16.34 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |      0.0 |
| 59531.39 | 15.969999999999999 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |      0.0 |
| 59532.29 | 15.370000000000001 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |      0.0 |
| 59532.49 |              15.19 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |      0.0 |
| 59533.29 |              14.65 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |      0.0 |
| 59533.49 |              14.47 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |      0.0 |
| 59534.29 |               14.0 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |      0.0 |
| 59534.49 |              13.85 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |      0.0 |
| 59535.29 |              13.52 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |      0.0 |
| 59535.49 |              13.41 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |      0.0 |
| 59536.29 |              13.15 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |      0.0 |
| 59536.49 |              13.05 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |      0.0 |
| 59537.19 | 12.870000000000001 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |      0.0 |
| 59537.39 |              12.78 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |      0.0 |
| 59538.19 | 12.620000000000001 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |      0.0 |
| 59538.39 |              12.57 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |      0.0 |
| 59539.29 |              12.43 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |      0.0 |
| 59539.39 |              12.41 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |      0.0 |
| 59540.19 |              12.31 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |      0.0 |
| 59540.39 | 12.290000000000001 |  0.01 |     AB |      B |        nan | nan |       Swope |     True |      0.0 |
