|            obsdate |                mag |                 e_mag | magsys | filter | depth_5sig |     zp | observatory | detected |
|  59526.75139583321 |                    |                       |     AB |      r |     19.809 | 19.809 |        LSGT |    False |
|  59533.70009259321 | 14.112599999999999 |   0.00784480082602484 |     AB |      r |      19.33 |  19.33 |        LSGT |     True |
|  59534.63394444389 |            13.7192 |  0.006317721108121187 |     AB |      r |     19.433 | 19.433 |        LSGT |     True |
|  59577.55899999989 |            13.0879 |  0.006191897931975301 |     AB |      r |     20.375 | 20.375 |        LSGT |     True |
|  59578.56833333289 | 13.118299999999998 |  0.006628906395477311 |     AB |      r |     19.841 | 19.841 |        LSGT |     True |
|  59581.64500000002 |            13.3113 | 0.0064807715590043755 |     AB |      r |     20.077 | 20.077 |        LSGT |     True |
|   59592.4589999998 | 13.885199999999998 |  0.006829172717101245 |     AB |      r |      19.28 |  19.28 |        LSGT |     True |
|  59593.46266666707 | 13.930200000000001 | 0.0066393071927724505 |     AB |      r |     19.923 | 19.923 |        LSGT |     True |
|  59599.51466666721 | 14.127699999999999 |  0.007591765275612781 |     AB |      r |     19.819 | 19.819 |        LSGT |     True |
| 59600.507999999914 |            14.1548 |  0.007745844046971253 |     AB |      r |     18.821 | 18.821 |        LSGT |     True |
|  59601.51399999997 | 14.189999999999998 |  0.007392563831310488 |     AB |      r |     19.735 | 19.735 |        LSGT |     True |
|  59602.52166666603 |            14.2249 |  0.007515317691222374 |     AB |      r |     19.828 | 19.828 |        LSGT |     True |
|  59617.46266666707 |            14.6898 |  0.007726506325629974 |     AB |      r |     20.302 | 20.302 |        LSGT |     True |
|  59619.46100000013 |           14.76345 |  0.007583824892493233 |     AB |      r |     19.843 | 19.843 |        LSGT |     True |
|  59620.45300000021 | 14.755950000000002 |  0.022261313977391364 |     AB |      r |     17.066 | 17.066 |        LSGT |     True |
|  59622.44900000002 | 14.862499999999999 |   0.00819319229604676 |     AB |      r |     19.864 | 19.864 |        LSGT |     True |
| 59623.445999999996 | 14.889399999999998 |  0.008384515489877753 |     AB |      r |     19.844 | 19.844 |        LSGT |     True |
| 59626.538000000175 |            15.0021 |  0.008718164944528177 |     AB |      r |     19.025 | 19.025 |        LSGT |     True |
| 59652.515333333984 | 15.755200000000002 |  0.011676883145771392 |     AB |      r |     19.141 | 19.141 |        LSGT |     True |
| 59653.501000000164 | 15.808750000000002 |  0.012646485677847423 |     AB |      r |     19.083 | 19.083 |        LSGT |     True |
|  59657.52400000021 |            15.9082 |  0.018316069447345956 |     AB |      r |      18.53 |  18.53 |        LSGT |     True |
|  59658.45699999994 | 15.939950000000001 |  0.014846157752091953 |     AB |      r |     18.851 | 18.851 |        LSGT |     True |
|  59659.47800000012 | 15.963399999999998 |  0.012631136132589182 |     AB |      r |     19.304 | 19.304 |        LSGT |     True |
| 59660.466000000015 |           16.04125 |    0.0145948655355231 |     AB |      r |      19.13 |  19.13 |        LSGT |     True |
|  59670.41200000001 | 16.295900000000003 |  0.014121434063153786 |     AB |      r |     20.472 | 20.472 |        LSGT |     True |
