recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
36743898,66.760673,-55.913080,0.330,0.331,20132348,4,13,0.650,0.072,13.266,0.071,13.915,0.012,13.500,0.000,13.091,0.057,12.930,0.015
36743899,66.776804,-55.919207,0.253,0.246,20162425,3,9,0.971,0.070,11.019,0.065,11.990,0.026,11.440,0.000,10.673,0.000,10.398,0.003
36743903,66.776473,-55.877779,0.307,0.475,20132348,4,13,0.947,0.052,13.823,0.046,14.770,0.024,14.232,0.008,13.541,0.054,13.215,0.023
36743904,66.776944,-55.865515,0.236,0.247,20162425,3,11,0.717,0.041,13.863,0.036,14.580,0.019,14.128,0.012,13.664,0.034,13.436,0.005
36743910,66.624630,-55.921041,0.262,0.348,20162425,4,13,0.947,0.067,13.087,0.064,14.033,0.022,13.478,0.006,12.785,0.048,12.454,0.041
36743913,66.625887,-55.878007,0.270,0.810,20132348,5,15,0.543,0.094,13.149,0.092,13.692,0.018,13.349,0.036,13.009,0.062,12.792,0.055
36743914,66.611151,-55.849864,0.524,0.455,20132348,6,23,0.920,0.049,11.195,0.045,12.116,0.019,11.587,0.006,10.902,0.025,10.604,0.044
36743915,66.745827,-55.845337,0.421,0.569,20162425,3,9,0.561,0.000,15.261,0.000,15.822,0.000,15.498,0.046,15.145,0.099,14.938,0.048
36743916,66.753785,-55.809353,0.277,0.345,20132348,4,15,0.647,0.046,13.709,0.046,14.356,0.000,13.937,0.006,13.529,0.010,13.375,0.034
36743917,66.734872,-55.816851,0.655,0.872,20162425,3,7,0.851,0.000,16.375,0.000,17.226,0.000,16.851,0.000,15.790,0.000,15.311,0.099
36743920,66.745677,-55.756667,1.274,0.938,20162425,3,15,0.781,0.084,15.476,0.050,16.257,0.067,15.788,0.079,15.266,0.102,15.131,0.050
36743921,66.634212,-55.753833,0.681,0.469,20132348,2,8,1.086,0.000,15.377,0.000,16.463,0.000,15.915,0.046,15.031,0.006,14.522,0.017
36743922,66.722652,-55.744641,0.887,0.766,20132348,2,5,0.757,0.000,16.166,0.000,16.923,0.000,16.490,0.000,15.949,0.000,15.801,0.135
36743923,66.666371,-55.709357,0.406,0.255,20162425,3,15,0.662,0.043,13.884,0.030,14.546,0.032,14.170,0.011,13.733,0.025,13.545,0.027
36743938,66.752680,-55.674772,0.399,0.274,20132348,5,25,0.926,0.038,11.384,0.030,12.310,0.024,11.816,0.015,11.118,0.026,10.867,0.048
36743939,66.662736,-55.687411,0.458,0.643,20162425,3,11,0.799,0.000,15.483,0.000,16.282,0.000,15.839,0.092,15.291,0.011,15.134,0.047
36743940,66.760531,-55.627769,0.767,0.598,20162425,3,15,0.869,0.063,15.165,0.041,16.034,0.048,15.544,0.062,14.850,0.009,14.675,0.030
36743941,66.720730,-55.647139,0.790,0.890,20162425,3,13,0.858,0.043,15.412,0.037,16.271,0.021,15.828,0.045,15.138,0.016,14.820,0.087
36743943,66.714006,-55.617748,0.923,0.361,20162425,3,11,0.713,0.042,15.727,0.039,16.440,0.016,16.080,0.032,15.600,0.047,15.392,0.000
36743944,66.716325,-55.589878,0.442,0.728,20132348,2,10,0.867,0.130,15.613,0.106,16.480,0.075,15.992,0.033,15.379,0.008,15.120,0.014
36754824,64.611162,-55.909383,0.146,0.172,20162425,4,21,0.675,0.036,14.082,0.026,14.757,0.025,14.391,0.014,13.917,0.019,13.764,0.023
36754961,65.639802,-55.931374,0.215,0.158,20132348,6,31,0.755,0.064,11.344,0.058,12.100,0.025,11.694,0.030,11.196,0.015,11.034,0.010
36754965,65.558580,-55.893284,0.534,0.715,20162425,4,16,0.932,0.179,15.851,0.158,16.783,0.086,16.289,0.009,15.695,0.049,15.396,0.100
36754995,66.027484,-55.920523,0.582,0.444,20162425,4,21,0.784,0.085,14.795,0.083,15.579,0.020,15.170,0.022,14.612,0.033,14.430,0.050
36754996,66.048934,-55.926856,0.744,0.575,20132348,3,7,0.827,0.104,16.500,0.000,17.327,0.104,16.855,0.055,16.357,0.011,16.424,0.000
36755003,66.292187,-55.893042,1.097,0.553,20132348,3,7,0.663,0.075,16.165,0.000,16.829,0.075,16.646,0.022,16.174,0.110,15.906,0.000
36755004,66.377544,-55.909953,0.788,1.377,20162425,4,9,1.159,0.192,16.250,0.181,17.409,0.063,16.918,0.008,15.710,0.112,15.256,0.000
36755005,66.418058,-55.924450,0.528,0.647,20162425,4,20,0.732,0.165,15.200,0.156,15.932,0.056,15.528,0.030,15.135,0.115,14.958,0.070
36755006,66.473726,-55.892051,0.316,0.607,20162425,3,16,0.608,0.149,14.577,0.138,15.185,0.055,14.808,0.014,14.504,0.067,14.360,0.083
36755007,66.481384,-55.854346,0.275,0.503,20132348,6,27,0.905,0.144,12.818,0.144,13.723,0.012,13.255,0.012,12.638,0.083,12.442,0.038
36755008,66.435412,-55.888746,0.986,0.688,20162425,3,8,1.464,0.145,16.041,0.000,17.505,0.145,17.076,0.032,15.776,0.073,15.320,0.042
36755013,66.132785,-55.915399,0.471,0.256,20132348,6,28,0.722,0.099,12.875,0.098,13.597,0.016,13.212,0.023,12.734,0.042,12.590,0.030
36755014,66.154272,-55.915127,0.872,0.549,20162425,4,18,0.733,0.138,15.071,0.127,15.804,0.053,15.393,0.033,14.911,0.055,14.700,0.062
36755015,66.249997,-55.909953,0.904,0.683,20162425,4,17,0.571,0.213,15.920,0.212,16.492,0.023,16.138,0.024,15.900,0.078,15.750,0.135
36755016,66.225129,-55.873374,0.274,0.338,20162425,4,21,0.581,0.102,13.903,0.101,14.484,0.015,14.164,0.027,13.818,0.046,13.692,0.046
36755017,66.184606,-55.870942,1.249,0.881,20132348,2,5,0.774,0.000,16.501,0.000,17.275,0.000,16.795,0.000,16.198,0.000,16.026,0.183
36755019,66.043825,-55.860447,0.365,0.253,20132348,5,23,0.587,0.088,13.446,0.085,14.033,0.024,13.718,0.026,13.377,0.026,13.261,0.019
36755020,66.085775,-55.872031,0.285,0.447,20162425,4,21,1.023,0.117,14.245,0.101,15.268,0.058,14.736,0.026,14.030,0.034,13.709,0.057
36755021,66.125675,-55.836303,0.668,0.895,20162425,4,14,0.936,0.190,16.045,0.084,16.982,0.171,16.454,0.040,15.860,0.017,15.659,0.035
36755022,66.129192,-55.823838,0.503,0.621,20162425,4,25,0.601,0.114,14.913,0.106,15.514,0.042,15.189,0.035,14.854,0.062,14.822,0.039
36755024,66.312066,-55.794704,0.310,0.323,20132348,6,30,0.494,0.106,12.495,0.104,12.989,0.020,12.713,0.027,12.452,0.046,12.376,0.009
36755025,66.304288,-55.763813,1.117,0.727,20162425,3,12,0.870,0.080,15.669,0.078,16.538,0.014,16.107,0.047,15.468,0.010,15.187,0.192
36755026,66.243071,-55.757559,0.592,0.801,20162425,3,15,0.775,0.095,15.401,0.040,16.176,0.086,15.815,0.074,15.347,0.050,15.059,0.120
36755027,66.183051,-55.807619,0.631,0.542,20132348,3,19,0.678,0.118,15.593,0.095,16.270,0.070,15.953,0.064,15.539,0.075,15.468,0.132
36755028,66.193801,-55.786229,0.289,0.505,20162425,3,15,0.642,0.077,14.107,0.032,14.748,0.070,14.367,0.043,13.998,0.021,13.881,0.010
36755029,66.204509,-55.797197,0.929,1.076,20162425,2,5,0.912,0.111,16.377,0.000,17.289,0.111,16.864,0.000,15.848,0.000,15.420,0.000
36755030,66.168201,-55.754516,0.827,0.616,20162425,3,14,0.633,0.115,15.689,0.028,16.322,0.112,16.036,0.096,15.440,0.049,15.226,0.016
36755031,66.183610,-55.757703,0.372,0.502,20162425,3,15,0.733,0.097,14.959,0.057,15.693,0.079,15.281,0.022,14.739,0.023,14.531,0.094
36755043,65.792277,-55.935073,0.405,0.226,20162425,4,21,0.836,0.099,14.364,0.086,15.200,0.048,14.747,0.023,14.193,0.023,14.023,0.024
36755044,65.798139,-55.925292,0.157,0.209,20132348,6,31,0.600,0.075,11.723,0.070,12.322,0.024,11.992,0.022,11.644,0.013,11.544,0.017
36755048,65.907339,-55.914988,0.266,0.277,20132348,5,25,0.681,0.074,13.708,0.074,14.389,0.009,14.013,0.021,13.602,0.022,13.478,0.020
36755049,65.999213,-55.914862,0.118,0.172,20162425,4,21,0.899,0.090,13.526,0.082,14.425,0.037,13.960,0.024,13.307,0.027,13.051,0.027
36755051,65.961563,-55.848126,1.040,0.525,20162425,4,12,0.589,0.109,15.908,0.098,16.498,0.048,16.186,0.060,15.815,0.062,15.753,0.116
36755054,65.693114,-55.881824,0.729,0.637,20162425,4,20,0.689,0.152,15.666,0.085,16.355,0.126,16.031,0.035,15.566,0.070,15.438,0.139
36755055,65.633787,-55.902358,0.240,0.168,20162425,4,21,0.692,0.072,14.162,0.068,14.854,0.024,14.473,0.041,14.016,0.012,13.863,0.023
36755056,65.639250,-55.890307,0.838,0.665,20162425,4,15,0.855,0.108,15.754,0.014,16.610,0.107,16.193,0.035,15.545,0.027,15.375,0.213
36755057,65.657294,-55.813966,0.472,0.429,20162425,4,19,0.706,0.050,15.122,0.024,15.828,0.044,15.450,0.046,15.016,0.025,14.871,0.105
36755058,65.599301,-55.834320,0.316,0.204,20162425,4,25,0.643,0.055,14.343,0.049,14.986,0.025,14.646,0.010,14.247,0.025,14.091,0.038
36755060,65.768702,-55.857425,0.226,0.230,20132348,5,23,0.662,0.080,13.826,0.077,14.487,0.019,14.142,0.019,13.726,0.021,13.573,0.019
36755061,65.791527,-55.844115,0.152,0.365,20162425,4,21,1.453,0.088,13.655,0.085,15.108,0.024,14.404,0.023,13.130,0.024,12.196,0.028
36755062,65.767144,-55.820159,0.863,0.648,20162425,4,20,0.552,0.078,15.590,0.047,16.142,0.062,15.819,0.021,15.469,0.065,15.280,0.241
36755063,65.802086,-55.799347,0.389,0.492,20162425,3,15,1.006,0.097,15.297,0.063,16.303,0.074,15.820,0.048,14.922,0.033,14.636,0.079
36755064,65.782215,-55.788281,0.829,0.578,20132348,2,10,0.765,0.162,15.693,0.085,16.459,0.138,16.042,0.038,15.546,0.010,15.376,0.030
36755065,65.757489,-55.751377,0.433,0.279,20132348,5,23,0.824,0.031,12.848,0.024,13.673,0.020,13.218,0.024,12.616,0.013,12.363,0.019
36755066,65.785543,-55.745900,0.932,0.797,20162425,3,15,0.640,0.089,15.312,0.027,15.952,0.085,15.559,0.046,15.165,0.033,15.068,0.119
36755067,65.625997,-55.777578,0.636,0.944,20162425,3,13,0.731,0.090,15.919,0.036,16.650,0.083,16.321,0.108,15.819,0.063,15.491,0.000
36755069,65.643110,-55.746267,0.922,0.414,20162425,3,9,1.216,0.000,16.129,0.000,17.346,0.000,16.726,0.008,15.491,0.045,14.769,0.035
36755070,65.648870,-55.758351,1.234,0.877,20162425,3,11,0.786,0.152,16.274,0.037,17.060,0.147,16.551,0.008,15.957,0.027,15.811,0.199
36755071,65.755899,-55.726693,0.283,0.167,20132348,4,17,0.586,0.027,13.489,0.018,14.075,0.020,13.721,0.027,13.367,0.008,13.228,0.020
36755072,66.008921,-55.752765,0.252,0.272,20132348,5,25,1.094,0.032,12.197,0.027,13.292,0.017,12.720,0.006,11.854,0.012,11.494,0.019
36755073,65.919028,-55.793353,0.462,0.879,20162425,3,9,0.890,0.067,15.703,0.014,16.593,0.065,16.133,0.052,15.451,0.057,15.339,0.000
36755076,65.948341,-55.749212,0.988,0.509,20162425,3,14,0.749,0.072,15.633,0.044,16.383,0.057,15.928,0.024,15.493,0.091,15.487,0.289
36755078,66.101176,-55.745286,0.701,0.375,20162425,3,15,1.356,0.036,14.343,0.024,15.700,0.026,15.043,0.034,13.768,0.021,13.132,0.027
36755079,66.054041,-55.701115,0.710,1.001,20162425,3,12,0.753,0.022,15.613,0.017,16.365,0.014,16.009,0.073,15.317,0.043,15.064,0.076
36755080,66.059207,-55.679718,0.280,0.174,20132348,5,23,0.608,0.034,12.602,0.022,13.211,0.026,12.848,0.019,12.446,0.023,12.286,0.005
36755081,66.084922,-55.661315,1.009,0.682,20162425,3,9,1.169,0.000,16.301,0.000,17.471,0.000,17.039,0.044,15.809,0.047,15.247,0.039
36755082,65.978920,-55.686737,0.225,0.160,20162425,3,15,0.528,0.037,14.038,0.036,14.565,0.009,14.231,0.032,13.910,0.037,13.821,0.018
36755084,65.893652,-55.672157,0.599,0.552,20162425,3,11,1.392,0.100,15.535,0.054,16.927,0.085,16.268,0.021,14.946,0.012,13.878,0.013
36755085,65.840859,-55.705219,0.627,0.505,20162425,3,15,0.673,0.053,14.922,0.051,15.595,0.016,15.228,0.052,14.726,0.024,14.582,0.026
36755086,65.846222,-55.650181,0.582,0.447,20162425,3,13,0.596,0.052,15.412,0.043,16.007,0.029,15.684,0.055,15.196,0.016,14.994,0.040
36755087,65.752339,-55.682965,0.652,0.380,20162425,3,13,0.481,0.083,15.461,0.031,15.942,0.077,15.630,0.028,15.405,0.026,15.245,0.000
36755091,65.712442,-55.688201,0.837,1.008,20162425,3,13,1.089,0.070,15.894,0.070,16.984,0.008,16.399,0.108,15.606,0.061,15.424,0.147
36755092,65.703281,-55.647383,0.662,0.828,20162425,3,12,0.870,0.111,15.518,0.080,16.388,0.077,15.886,0.047,15.235,0.024,14.948,0.076
36755093,65.773307,-55.657103,0.593,0.729,20162425,3,13,1.147,0.073,15.373,0.029,16.520,0.067,15.982,0.072,14.946,0.036,14.478,0.012
36755094,65.762129,-55.604787,0.449,0.384,20132348,5,21,0.602,0.044,13.659,0.033,14.261,0.030,13.892,0.035,13.505,0.028,13.380,0.016
36755095,65.899054,-55.640653,0.268,0.238,20132348,5,24,0.526,0.030,12.803,0.023,13.328,0.019,13.016,0.025,12.701,0.017,12.588,0.016
36755096,65.872438,-55.634003,0.665,0.953,20162425,3,11,0.904,0.000,15.993,0.000,16.896,0.000,16.424,0.059,15.586,0.043,15.374,0.028
36755097,65.823472,-55.604126,0.574,0.699,20162425,3,15,0.537,0.046,15.489,0.044,16.027,0.014,15.760,0.035,15.391,0.029,15.211,0.102
36755098,65.829012,-55.614268,0.881,0.706,20132348,2,7,0.813,0.100,16.212,0.000,17.025,0.100,16.601,0.000,15.898,0.000,15.669,0.000
36755099,65.818257,-55.582620,0.798,0.588,20162425,3,15,0.633,0.078,15.297,0.063,15.930,0.046,15.571,0.019,15.179,0.026,15.067,0.080
36755100,65.844599,-55.584229,0.229,0.412,20132348,2,10,0.688,0.038,14.816,0.037,15.504,0.010,15.105,0.008,14.660,0.000,14.478,0.031
36755101,65.853794,-55.545114,0.280,0.345,20132348,4,17,0.576,0.035,14.168,0.031,14.744,0.016,14.388,0.029,14.025,0.000,13.911,0.030
36755102,65.799235,-55.530141,0.806,0.787,20132348,2,7,0.742,0.000,16.167,0.000,16.909,0.000,16.452,0.062,16.028,0.028,15.613,0.000
36755151,65.366448,-55.933403,0.479,0.606,20132348,2,9,0.853,0.000,15.085,0.000,15.938,0.000,15.486,0.026,14.797,0.010,14.400,0.062
36755152,65.385596,-55.921256,0.511,0.484,20162425,4,20,0.724,0.050,15.137,0.043,15.861,0.025,15.461,0.023,15.027,0.039,14.819,0.051
36755153,65.311944,-55.894178,0.663,0.604,20132348,3,14,0.980,0.067,15.818,0.053,16.797,0.041,16.312,0.045,15.532,0.040,15.237,0.019
