recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
7277280,118.882416,59.469773,0.346,0.543,20152436,7,32,0.472,0.220,15.044,0.078,15.516,0.206,15.192,0.190,14.861,0.045,14.724,0.154
7277281,118.670009,59.485377,0.220,0.295,20152436,7,30,1.103,0.205,10.830,0.062,11.933,0.195,11.267,0.227,10.418,0.050,10.074,0.079
7277282,118.720669,59.562124,0.710,0.708,20152436,6,25,0.678,0.099,15.110,0.064,15.788,0.076,15.358,0.215,14.870,0.083,14.675,0.089
7277283,118.729933,59.548275,0.621,0.574,20152436,7,30,0.698,0.223,15.030,0.062,15.727,0.215,15.233,0.243,14.816,0.079,14.589,0.184
7277285,118.523757,59.469663,0.358,0.508,20152435,3,8,0.765,0.080,15.977,0.080,16.742,0.000,16.251,0.049,15.792,0.085,15.509,0.000
7277290,118.451311,59.462065,0.536,0.625,20152436,7,30,1.094,0.285,14.354,0.087,15.448,0.271,14.829,0.244,13.813,0.056,13.356,0.104
7277291,118.468950,59.479549,0.416,0.471,20152436,7,29,0.438,0.224,14.478,0.059,14.916,0.216,14.559,0.244,14.293,0.040,14.174,0.064
7277293,118.377110,59.501919,0.232,0.327,20152436,7,30,0.687,0.216,14.047,0.071,14.734,0.204,14.266,0.238,13.798,0.040,13.610,0.066
7277294,118.403594,59.514708,0.221,0.351,20152436,7,30,0.441,0.222,12.604,0.063,13.045,0.212,12.689,0.241,12.452,0.041,12.320,0.081
7277295,118.463141,59.510283,0.396,0.628,20152436,7,30,0.557,0.215,14.888,0.056,15.445,0.208,15.029,0.231,14.701,0.048,14.530,0.091
7277296,118.433805,59.537977,0.434,0.496,20152436,7,30,0.307,0.227,14.574,0.062,14.882,0.218,14.578,0.240,14.453,0.039,14.386,0.070
7277297,118.619764,59.523952,0.386,0.346,20152436,7,30,0.568,0.219,14.256,0.070,14.824,0.208,14.415,0.230,14.036,0.057,13.867,0.076
7277298,118.662559,59.566823,0.712,0.836,20152436,3,8,0.607,0.339,16.172,0.047,16.778,0.336,16.444,0.000,16.048,0.000,15.741,0.000
7277299,118.692137,59.574399,0.763,0.675,20152436,5,18,0.525,0.144,15.626,0.144,16.151,0.000,15.720,0.197,15.370,0.065,15.232,0.169
7277300,118.629953,59.562351,0.239,0.333,20152436,7,30,0.534,0.209,13.817,0.065,14.352,0.199,13.953,0.245,13.626,0.048,13.446,0.082
7277301,118.625436,59.624333,0.396,0.511,20152436,7,28,0.528,0.217,14.358,0.045,14.886,0.212,14.532,0.260,14.154,0.057,13.976,0.088
7277303,118.485422,59.592446,0.475,0.462,20152436,7,29,0.555,0.246,14.564,0.077,15.119,0.234,14.707,0.243,14.321,0.055,14.180,0.100
7277305,118.571912,59.632403,0.652,0.729,20152436,7,30,0.721,0.237,14.969,0.084,15.690,0.222,15.173,0.267,14.654,0.066,14.430,0.139
7277306,118.533339,59.661255,0.659,0.922,20152436,6,20,0.733,0.351,15.450,0.140,16.183,0.322,15.581,0.291,15.108,0.051,14.769,0.030
7278046,118.050504,59.183348,0.523,0.148,20152435,5,23,0.460,0.059,13.625,0.054,14.085,0.024,13.768,0.060,13.484,0.054,13.374,0.044
