recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
7277108,118.479403,59.127323,0.314,0.573,20152435,5,22,0.495,0.101,14.838,0.098,15.333,0.026,14.996,0.082,14.637,0.038,14.550,0.060
7277109,118.479122,59.127328,1.127,0.859,20152436,3,11,0.406,0.011,14.751,0.010,15.157,0.006,14.656,0.076,14.590,0.022,14.467,0.269
7277110,118.503949,59.121235,0.982,0.730,20152436,5,16,1.227,0.252,16.067,0.110,17.294,0.227,16.583,0.069,15.581,0.025,15.111,0.060
7277111,118.400878,59.102127,0.737,0.381,20152436,7,28,0.806,0.092,14.964,0.053,15.770,0.075,15.194,0.177,14.642,0.064,14.401,0.068
7277112,118.330400,59.109601,0.555,0.849,20152435,4,13,0.896,0.152,16.252,0.075,17.148,0.132,16.549,0.103,15.910,0.064,15.619,0.000
7277113,118.353849,59.113836,0.618,0.539,20152436,7,33,0.523,0.195,14.960,0.086,15.482,0.175,15.103,0.180,14.755,0.035,14.620,0.095
7277114,118.419908,59.152830,0.808,0.813,20152436,5,14,0.966,0.165,16.185,0.100,17.151,0.131,16.509,0.146,15.867,0.068,15.639,0.000
7277115,118.385242,59.195475,0.379,0.248,20152435,4,16,0.615,0.067,14.612,0.066,15.227,0.011,14.851,0.063,14.424,0.052,14.223,0.059
7277116,118.385077,59.195468,0.954,0.637,20152436,4,17,0.565,0.195,14.578,0.062,15.143,0.185,14.681,0.242,14.406,0.036,14.226,0.091
7277118,118.136953,59.080139,0.568,0.271,20152435,5,23,0.470,0.092,14.536,0.079,15.005,0.048,14.672,0.070,14.370,0.070,14.230,0.080
7277119,118.161843,59.082843,0.748,0.673,20152435,5,17,0.591,0.057,15.769,0.056,16.361,0.011,16.001,0.081,15.498,0.038,15.431,0.159
7277120,118.172527,59.089741,0.520,0.166,20152435,5,23,0.492,0.084,13.897,0.067,14.390,0.050,14.049,0.073,13.728,0.055,13.639,0.037
7277121,118.213947,59.085011,0.830,1.160,20152435,2,8,0.828,0.086,16.579,0.086,17.407,0.000,16.832,0.062,16.476,0.072,16.343,0.000
7277122,118.246103,59.115554,0.550,0.144,20152436,6,24,1.084,0.091,13.002,0.076,14.086,0.049,13.520,0.070,12.508,0.057,12.153,0.068
7277123,118.198164,59.121694,0.503,0.117,20152435,5,23,0.944,0.087,12.374,0.072,13.318,0.048,12.779,0.061,12.026,0.053,11.755,0.065
7277125,118.142068,59.115345,0.749,0.552,20152435,4,15,0.768,0.057,15.700,0.057,16.468,0.000,15.998,0.110,15.446,0.069,15.319,0.166
7277126,118.138503,59.136342,0.530,0.106,20152435,5,23,0.280,0.082,11.049,0.068,11.329,0.046,11.087,0.075,10.997,0.055,11.015,0.059
7277127,118.167122,59.159990,0.613,0.517,20152435,5,22,0.776,0.069,15.095,0.068,15.871,0.011,15.437,0.068,14.742,0.060,14.483,0.142
7277128,118.293230,59.225357,1.165,0.832,20152435,2,7,0.885,0.000,15.697,0.000,16.582,0.000,16.007,0.000,15.357,0.112,15.108,0.064
7277137,118.904846,59.034186,0.524,0.715,20152436,7,27,0.808,0.116,14.448,0.076,15.256,0.088,14.728,0.168,14.088,0.077,13.760,0.089
7277138,118.908427,59.012235,0.541,0.588,20152436,5,20,0.559,0.028,15.530,0.022,16.089,0.017,15.762,0.113,15.333,0.021,15.118,0.115
7277142,118.831537,59.103837,0.641,0.548,20152436,6,23,0.401,0.170,15.700,0.022,16.101,0.169,15.747,0.180,15.530,0.065,15.348,0.077
7277143,118.983112,59.039442,0.386,0.291,20152436,8,44,0.764,0.137,14.453,0.100,15.217,0.094,14.683,0.107,14.150,0.054,13.912,0.048
7277144,119.026889,59.035547,0.254,0.250,20152436,10,57,0.691,0.111,13.624,0.064,14.315,0.090,13.854,0.114,13.348,0.068,13.103,0.094
7277148,118.909785,59.130148,0.413,0.509,20152436,7,39,0.591,0.123,14.656,0.071,15.247,0.101,14.795,0.139,14.416,0.055,14.236,0.065
7277149,118.984530,59.162130,0.353,0.292,20152436,9,52,0.564,0.136,14.043,0.066,14.606,0.119,14.213,0.141,13.851,0.063,13.689,0.096
7277150,118.900616,59.145651,0.359,0.224,20152436,7,31,0.726,0.145,14.191,0.088,14.917,0.115,14.426,0.169,13.922,0.068,13.682,0.086
7277151,118.926955,59.162932,0.217,0.264,20152436,8,44,0.824,0.134,13.796,0.060,14.620,0.120,14.101,0.165,13.505,0.071,13.201,0.116
7277152,118.745433,59.055127,0.125,0.100,20152436,7,30,1.114,0.151,12.203,0.074,13.317,0.131,12.640,0.160,11.776,0.063,11.391,0.055
7277153,118.702237,59.072295,0.761,0.657,20152436,7,21,0.610,0.164,15.608,0.119,16.218,0.112,15.738,0.128,15.406,0.031,15.288,0.050
7277154,118.652979,59.074628,0.568,0.654,20152435,4,14,0.502,0.049,15.989,0.049,16.491,0.000,16.154,0.081,15.768,0.087,15.573,0.043
7277156,118.608201,59.140371,1.204,0.336,20152436,4,11,0.523,0.000,14.505,0.000,15.028,0.000,14.477,0.096,14.328,0.081,14.179,0.105
7277157,118.608356,59.140332,0.545,0.307,20152436,6,22,0.544,0.152,14.561,0.075,15.105,0.132,14.784,0.061,14.339,0.053,14.179,0.017
7277158,118.623563,59.129904,0.904,0.446,20152436,6,28,0.450,0.176,15.148,0.088,15.597,0.152,15.264,0.124,14.952,0.057,14.827,0.120
7277163,118.874272,59.201904,0.429,0.412,20152436,7,30,0.597,0.156,14.423,0.069,15.019,0.140,14.596,0.193,14.204,0.062,13.990,0.120
7277164,119.104970,59.139586,0.260,0.208,20152436,7,45,0.988,0.143,13.638,0.072,14.626,0.124,14.042,0.144,13.258,0.073,12.919,0.104
7277165,119.117353,59.158400,0.100,0.106,20152436,8,50,0.491,0.103,11.553,0.058,12.043,0.085,11.690,0.116,11.370,0.073,11.193,0.090
7277166,119.069367,59.160371,0.177,0.169,20152436,7,45,0.499,0.109,13.629,0.070,14.128,0.084,13.766,0.133,13.444,0.068,13.253,0.088
7277168,119.041113,59.227906,0.255,0.339,20152436,8,47,0.796,0.166,14.383,0.069,15.179,0.151,14.631,0.129,14.076,0.057,13.816,0.067
7277172,119.122984,59.274903,0.697,0.872,20152436,6,33,0.600,0.135,15.567,0.068,16.167,0.116,15.700,0.120,15.349,0.074,15.197,0.119
7277173,119.137414,59.284305,0.101,0.128,20152436,8,50,0.401,0.133,12.980,0.066,13.381,0.115,13.070,0.136,12.864,0.063,12.747,0.077
