recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
37612564,40.454090,-31.237213,0.408,0.412,20180050,6,55,0.863,0.082,14.170,0.043,15.033,0.069,14.593,0.071,13.980,0.021,13.707,0.043
37612565,40.470995,-31.193901,0.527,0.412,20180050,6,59,0.599,0.091,13.923,0.039,14.522,0.083,14.205,0.064,13.800,0.032,13.684,0.006
37612566,40.504657,-31.195064,0.837,0.881,20161553,3,18,0.942,0.000,16.032,0.000,16.974,0.000,16.508,0.077,15.691,0.064,15.667,0.000
37613903,42.703905,-31.233528,0.744,0.680,20161554,5,25,1.156,0.178,15.838,0.053,16.994,0.170,16.473,0.040,15.310,0.014,14.870,0.063
37613927,42.582487,-31.268538,0.171,0.116,20131439,8,73,0.547,0.028,11.578,0.018,12.125,0.022,11.810,0.013,11.466,0.028,11.344,0.027
37613933,42.631957,-31.228480,0.794,1.037,20161554,3,9,1.044,0.128,16.331,0.000,17.376,0.128,16.929,0.021,15.899,0.015,15.520,0.085
37613934,42.641997,-31.229320,0.791,0.551,20161554,5,39,0.904,0.084,15.399,0.042,16.303,0.073,15.835,0.044,15.111,0.024,14.898,0.112
37613935,42.656141,-31.230695,0.638,0.516,20131439,7,58,0.658,0.046,14.195,0.016,14.853,0.043,14.483,0.006,14.050,0.031,13.876,0.024
37613937,42.639950,-31.145057,0.377,0.423,20131439,7,64,0.596,0.036,13.312,0.027,13.908,0.024,13.572,0.010,13.155,0.037,13.030,0.027
37613938,42.435382,-31.239258,0.587,0.514,20161554,6,56,0.706,0.066,14.805,0.046,15.511,0.048,15.107,0.012,14.638,0.046,14.446,0.063
37613939,42.520619,-31.219877,0.847,1.380,20161554,3,8,1.074,0.000,15.666,0.000,16.740,0.000,16.272,0.000,15.376,0.000,14.962,0.000
37613940,42.520627,-31.220116,1.057,1.223,20180090,3,15,0.974,0.000,15.817,0.000,16.791,0.000,16.377,0.038,15.361,0.057,15.003,0.014
37613942,42.499672,-31.190750,0.230,0.243,20131439,7,70,0.708,0.031,12.912,0.028,13.620,0.014,13.227,0.021,12.749,0.027,12.570,0.013
37613944,42.421743,-31.210735,0.795,1.033,20161554,4,20,0.734,0.092,15.977,0.048,16.711,0.079,16.271,0.048,15.784,0.018,15.651,0.000
37613949,42.388100,-31.198239,1.115,0.760,20161554,4,17,1.114,0.000,15.783,0.000,16.897,0.000,16.276,0.008,15.374,0.081,14.934,0.100
37613950,42.402137,-31.217362,0.912,0.890,20161554,3,18,0.603,0.071,15.715,0.071,16.318,0.000,15.971,0.029,15.506,0.026,15.165,0.000
37613951,42.402135,-31.217242,0.613,0.995,20180096,3,18,0.662,0.000,15.691,0.000,16.353,0.000,15.986,0.020,15.487,0.080,15.292,0.098
37613952,42.390907,-31.189218,1.062,0.761,20161554,2,6,1.122,0.000,13.781,0.000,14.902,0.000,14.302,0.000,13.488,0.000,13.050,0.000
37613953,42.391052,-31.189328,0.270,0.449,20180050,5,52,1.082,0.052,14.062,0.045,15.144,0.026,14.615,0.033,13.705,0.048,13.292,0.056
37613954,42.413710,-31.204715,0.845,0.859,20161554,5,34,0.991,0.193,15.746,0.179,16.737,0.071,16.181,0.100,15.393,0.090,14.975,0.185
37613955,42.432960,-31.158176,0.870,0.604,20161554,5,54,1.031,0.136,15.151,0.046,16.183,0.128,15.623,0.104,14.808,0.097,14.418,0.055
37613956,42.451159,-31.136146,0.783,0.627,20161554,5,42,1.044,0.066,15.302,0.029,16.346,0.059,15.819,0.023,14.963,0.029,14.497,0.093
37613957,42.504701,-31.170956,0.463,0.455,20131439,7,69,0.745,0.035,13.750,0.030,14.495,0.018,14.080,0.025,13.549,0.022,13.366,0.011
37613958,42.484103,-31.133291,0.816,1.159,20161554,3,21,1.086,0.263,15.496,0.103,16.582,0.242,16.027,0.082,15.178,0.050,14.806,0.000
37613959,42.484209,-31.133414,0.882,0.858,20180090,3,30,1.037,0.032,15.595,0.017,16.632,0.027,16.065,0.008,15.281,0.048,14.803,0.023
37613960,42.492298,-31.102837,0.731,0.963,20161554,4,15,1.381,0.146,15.999,0.063,17.380,0.131,16.779,0.023,15.523,0.023,14.977,0.174
37613961,42.525492,-31.081553,0.360,0.413,20161554,5,54,0.632,0.026,14.452,0.022,15.084,0.013,14.738,0.017,14.319,0.029,14.113,0.055
37613962,42.532598,-31.087082,0.957,0.802,20161554,4,20,0.528,0.083,16.310,0.039,16.838,0.073,16.606,0.019,16.205,0.037,16.187,0.000
37614017,42.719055,-31.204194,0.553,0.462,20161554,6,54,0.852,0.043,14.433,0.028,15.285,0.032,14.820,0.023,14.180,0.027,13.914,0.030
37614022,42.660883,-31.156328,0.515,0.417,20131439,7,57,0.612,0.035,14.552,0.020,15.164,0.028,14.820,0.008,14.422,0.031,14.247,0.043
37614023,42.679687,-31.127048,0.694,0.754,20161554,4,13,1.383,0.153,16.228,0.000,17.611,0.153,16.916,0.025,15.827,0.045,15.345,0.121
37614024,42.707595,-31.106096,0.706,0.656,20161554,6,26,1.055,0.094,15.435,0.046,16.490,0.082,15.954,0.036,15.010,0.036,14.627,0.031
37614025,42.721970,-31.113543,1.136,0.894,20161554,5,20,0.914,0.176,16.277,0.156,17.191,0.080,16.647,0.026,16.036,0.058,16.184,0.000
37614030,42.606768,-31.036787,1.178,1.082,20161554,4,16,0.943,0.072,16.284,0.028,17.227,0.066,16.936,0.037,15.935,0.139,15.583,0.118
37614031,42.553901,-31.029199,0.311,0.263,20131439,7,68,0.652,0.044,13.110,0.037,13.762,0.024,13.408,0.023,12.975,0.038,12.822,0.018
37614034,42.735486,-30.903313,0.506,0.654,20161554,5,46,0.609,0.050,15.183,0.037,15.792,0.034,15.430,0.028,14.957,0.050,14.799,0.010
37614206,42.009793,-31.263052,0.612,1.245,20161554,3,21,0.965,0.043,15.554,0.016,16.519,0.040,16.036,0.022,15.182,0.010,14.880,0.022
37614208,42.035627,-31.240867,0.378,0.261,20161554,8,72,0.475,0.051,12.864,0.048,13.340,0.019,13.054,0.027,12.762,0.041,12.674,0.034
37614209,42.041070,-31.269768,0.513,0.653,20161554,8,65,1.523,0.099,14.477,0.036,16.000,0.092,15.207,0.014,13.869,0.036,12.891,0.033
37614210,42.043336,-31.252594,0.679,0.529,20161554,7,63,0.696,0.072,14.563,0.057,15.260,0.044,14.874,0.048,14.384,0.038,14.216,0.056
37614211,41.988277,-31.265684,0.757,0.729,20161554,7,63,0.649,0.045,14.707,0.017,15.356,0.042,14.980,0.041,14.514,0.045,14.354,0.055
37614236,41.648855,-31.243506,0.590,0.537,20161554,7,64,0.780,0.059,14.464,0.025,15.244,0.053,14.812,0.022,14.277,0.058,14.019,0.080
37614245,41.791918,-31.267408,0.634,0.439,20131438,9,71,0.638,0.053,13.336,0.038,13.975,0.037,13.612,0.037,13.221,0.025,13.093,0.042
37614246,41.848832,-31.249882,0.618,0.567,20161554,8,68,0.648,0.062,14.366,0.031,15.014,0.054,14.662,0.020,14.248,0.028,14.080,0.061
37614248,41.953543,-31.258340,0.284,0.171,20131438,8,70,0.422,0.057,10.311,0.040,10.733,0.041,10.480,0.045,10.229,0.036,10.162,0.051
37614249,41.990378,-31.197614,0.412,0.360,20131438,9,76,0.692,0.048,13.078,0.043,13.770,0.021,13.379,0.028,12.910,0.035,12.772,0.032
37614250,41.941480,-31.223361,0.641,0.611,20161554,8,72,0.743,0.052,13.861,0.042,14.604,0.031,14.170,0.038,13.656,0.021,13.460,0.041
37614251,41.784897,-31.197776,0.812,0.700,20161554,8,59,1.273,0.171,15.094,0.048,16.367,0.164,15.791,0.044,14.556,0.026,14.009,0.178
37614252,41.872016,-31.169693,0.500,0.339,20131438,9,84,0.660,0.050,12.963,0.034,13.623,0.036,13.261,0.025,12.827,0.024,12.692,0.026
37614253,41.833955,-31.136685,0.301,1.059,20161554,3,9,0.601,0.056,14.858,0.056,15.459,0.000,15.116,0.010,14.714,0.052,14.573,0.000
37614254,41.833881,-31.136556,0.730,0.649,20161554,6,58,0.563,0.067,14.865,0.048,15.428,0.047,15.087,0.022,14.752,0.046,14.595,0.012
37614256,41.895372,-31.113055,0.458,0.358,20161554,8,71,0.791,0.025,14.049,0.021,14.841,0.014,14.417,0.021,13.828,0.033,13.590,0.044
37614257,41.899398,-31.120651,0.915,0.946,20161554,5,33,0.779,0.142,15.775,0.082,16.555,0.116,16.142,0.048,15.598,0.099,15.526,0.142
37614258,41.897657,-31.107220,0.960,0.789,20161554,4,22,0.793,0.000,15.960,0.000,16.753,0.000,16.411,0.058,15.738,0.062,15.356,0.084
37614259,41.780373,-31.148181,0.655,0.715,20161554,9,70,0.623,0.073,14.781,0.053,15.404,0.050,15.052,0.024,14.642,0.060,14.480,0.117
37614260,41.823961,-31.121579,0.829,0.948,20161554,3,33,0.652,0.000,15.583,0.000,16.236,0.000,15.886,0.065,15.426,0.049,15.274,0.000
37614261,41.823983,-31.121476,0.888,0.931,20180090,5,42,0.594,0.121,15.573,0.100,16.167,0.069,15.830,0.043,15.409,0.023,15.322,0.081
37614326,41.240601,-31.188955,1.085,0.969,20161553,4,29,0.970,0.278,15.551,0.050,16.521,0.274,16.055,0.151,15.187,0.054,14.713,0.080
37614327,41.049016,-31.261953,0.409,0.220,20131438,7,67,0.388,0.098,13.273,0.055,13.661,0.081,13.437,0.061,13.266,0.027,13.184,0.042
37614330,41.001773,-31.241697,0.625,0.683,20161553,4,47,0.754,0.130,15.043,0.066,15.797,0.113,15.397,0.080,14.857,0.035,14.725,0.023
37614331,40.998632,-31.202920,0.777,0.840,20161553,4,28,0.669,0.213,15.622,0.084,16.291,0.196,15.957,0.131,15.413,0.046,15.284,0.126
37614332,41.012373,-31.199901,0.737,0.756,20161553,4,44,0.819,0.181,15.247,0.132,16.066,0.124,15.588,0.098,15.071,0.050,14.904,0.055
37614333,41.081680,-31.165084,0.773,0.790,20161553,4,40,0.659,0.142,15.541,0.081,16.200,0.117,15.827,0.104,15.434,0.034,15.093,0.000
37614334,41.132060,-31.130453,0.440,0.358,20180050,5,63,0.698,0.067,13.459,0.026,14.157,0.062,13.791,0.084,13.280,0.044,13.085,0.017
37614337,41.156830,-31.088718,0.707,0.876,20161553,4,32,0.393,0.117,15.256,0.023,15.648,0.114,15.460,0.115,15.226,0.016,15.298,0.000
37614338,41.139007,-31.053900,1.166,0.971,20161553,4,18,0.966,0.190,16.140,0.182,17.106,0.054,16.653,0.210,15.799,0.057,15.519,0.000
37614340,41.488874,-31.274449,0.936,1.004,20161553,5,51,0.538,0.157,15.514,0.142,16.052,0.066,15.714,0.050,15.336,0.048,15.158,0.000
37614341,41.463697,-31.264747,1.122,0.870,20180090,3,22,0.801,0.131,15.478,0.035,16.279,0.126,15.769,0.019,15.255,0.079,15.210,0.000
37614342,41.472095,-31.264077,0.438,0.216,20131438,7,80,0.598,0.080,11.625,0.041,12.224,0.069,11.900,0.056,11.512,0.032,11.323,0.065
37614345,41.607945,-31.193191,0.633,0.861,20161554,5,38,0.770,0.119,15.016,0.071,15.785,0.095,15.368,0.074,14.894,0.042,14.658,0.053
37614346,41.607936,-31.193193,0.598,0.679,20180090,3,50,0.713,0.060,14.974,0.048,15.688,0.037,15.317,0.028,14.847,0.016,14.785,0.000
37614347,41.581083,-31.199608,0.298,0.250,20161554,8,78,0.667,0.082,13.448,0.043,14.114,0.069,13.758,0.042,13.286,0.055,13.119,0.030
37614348,41.596468,-31.169730,0.912,0.825,20161554,7,62,0.657,0.123,15.214,0.056,15.871,0.110,15.496,0.085,15.052,0.059,14.914,0.089
37614349,41.539013,-31.159916,0.373,1.257,20161554,2,7,1.049,0.000,14.652,0.000,15.701,0.000,15.109,0.000,14.427,0.000,14.115,0.000
37614350,41.539097,-31.160072,0.688,0.494,20180050,5,64,0.924,0.134,14.711,0.040,15.634,0.128,15.203,0.077,14.458,0.054,14.085,0.000
37614351,41.444360,-31.211278,0.804,0.849,20161553,4,34,0.679,0.216,15.675,0.140,16.354,0.165,16.047,0.086,15.673,0.076,15.488,0.196
