   6.16  5.49180E+42
   6.39  5.84708E+42
   6.63  6.23252E+42
   6.88  6.71379E+42
   7.14  7.29477E+42
   7.41  7.84954E+42
   7.69  8.25440E+42
   7.98  8.90746E+42
   8.28  9.40006E+42
   8.59  1.00716E+43
   8.91  1.06017E+43
   9.24  1.12683E+43
   9.59  1.18647E+43
   9.95  1.25305E+43
  10.33  1.29631E+43
  10.71  1.35801E+43
  11.12  1.40971E+43
  11.53  1.47573E+43
  11.97  1.51472E+43
  12.42  1.57436E+43
  12.88  1.63678E+43
  13.37  1.67736E+43
  13.87  1.71463E+43
  14.39  1.73635E+43
  14.93  1.77868E+43
  15.49  1.80344E+43
  16.07  1.82907E+43
  16.68  1.84887E+43
  17.30  1.86340E+43
  17.95  1.84721E+43
  18.63  1.83840E+43
  19.33  1.81383E+43
  20.06  1.79364E+43
  20.81  1.75050E+43
  21.59  1.68400E+43
  22.40  1.61692E+43
  23.24  1.56634E+43
  24.12  1.46587E+43
  25.02  1.39435E+43
  25.96  1.30396E+43
  26.94  1.22075E+43
  27.95  1.13511E+43
  29.00  1.05625E+43
  30.09  9.81415E+42
  31.22  9.15172E+42
  32.40  8.51591E+42
  33.61  8.12906E+42
  34.88  7.73847E+42
  36.19  7.50015E+42
  37.55  7.28528E+42
  38.96  7.02293E+42
  40.42  6.63750E+42
  41.94  6.21469E+42
  43.52  5.69569E+42
  45.15  5.21063E+42
  46.85  4.65907E+42
  48.61  4.22031E+42
  50.43  3.70632E+42
  52.33  3.26842E+42
  54.30  2.91055E+42
  56.34  2.68272E+42
  58.45  2.46521E+42
  60.65  2.29026E+42
  62.93  2.15204E+42
  65.29  2.00369E+42
  67.75  1.84041E+42
  70.29  1.72008E+42
  72.93  1.58031E+42
  75.67  1.49458E+42
  78.52  1.41225E+42
  81.47  1.27931E+42
