|                               id |     ra |     dec |    ra1 |    dec1 |    ra2 |    dec2 |    ra3 |    dec3 |    ra4 |    dec4 |                  l |                   b | n_hostgalaxy |   prob_vol_x_stmass | rank | confidence |      obj |  note |              weight | filter | count | exptime | binning |   ra_hms |   dec_dms |            maxalt |                 transit | moonsep | scheduled |       fraction_obs |
| f06ea27785bb4c6ea5e8c74f7104d42b | 41.194 |  -28.15 |  41.66 | -27.737 | 41.663 | -28.561 | 40.725 | -28.561 | 40.729 | -27.737 | 221.89403184642634 |  -64.93463165950999 |           29 |   1.804761043088316 |   10 |        0.5 | S230830b | 17392 |   1.804761043088316 |    g,r |   6,6 | 300,300 |     1,1 | 02:44:46 | -28:08:59 |             87.52 | 2023-08-30T08:55:41.333 |   67.31 |     False | 0.5333333333333333 |
| ee796d033a2b487d9bec7ae680ff2e7c | 53.898 | -39.251 | 54.427 | -38.838 | 54.433 | -39.662 | 53.363 | -39.662 | 53.369 | -38.838 | 243.20446652591977 |  -53.93420529259854 |           92 |  1.7691061189195258 |   11 |        0.5 | S230830b | 12116 |  1.7691061189195258 |    g,r |   6,6 | 300,300 |     1,1 | 03:35:35 | -39:15:03 |  81.2996100222739 | 2023-08-30T09:46:30.293 |   75.83 |     False | 0.4666666666666667 |
| c0ad22c2300b48348c547672f61bae01 | 41.471 | -26.564 |  41.93 | -26.151 | 41.933 | -26.975 | 41.008 | -26.975 | 41.012 | -26.151 | 218.26096942324753 |  -64.52158845727197 |           31 |     1.7524940618965 |   12 |        0.5 | S230830b | 18200 |     1.7524940618965 |    g,r |   6,6 | 300,300 |     1,1 | 02:45:53 | -26:33:50 |             85.93 | 2023-08-30T08:56:47.813 |   67.81 |     False | 0.5333333333333333 |
| abca7590fc504a168dc13b8276e4c08e | 24.439 | -32.907 | 24.927 | -32.495 | 24.932 | -33.319 | 23.946 | -33.319 |  23.95 | -32.495 |  245.7044996915624 |  -78.43866344099018 |           29 |   1.609213914584605 |   13 |        0.5 | S230830b | 15025 |   1.609213914584605 |    g,r |   6,6 | 300,300 |     1,1 | 01:37:45 | -32:54:25 |             87.74 | 2023-08-30T07:48:40.133 |   52.64 |     False | 0.6666666666666666 |
| b6a8975ef6c841f6a05a2df6b64f00dd | 27.766 | -34.493 | 28.263 |  -34.08 | 28.268 | -34.904 | 27.264 | -34.904 | 27.269 |  -34.08 | 246.52743192663607 |  -75.25410292022599 |           24 |  1.5924009792041418 |   14 |        0.5 | S230830b | 14272 |  1.5924009792041418 |    g,r |   6,6 | 300,300 |     1,1 | 01:51:03 | -34:29:34 |             86.15 | 2023-08-30T08:01:58.613 |   55.45 |     False | 0.6333333333333333 |
| e78c7bf52f8840f4880c0dc5cdab5b9c |  49.24 | -44.009 | 49.809 | -43.595 | 49.817 | -44.419 | 48.663 | -44.419 | 48.671 | -43.595 | 252.64141631518163 |  -56.32036463901714 |          109 |   1.584491268055834 |   15 |        0.5 | S230830b | 10071 |   1.584491268055834 |    g,r |   6,6 | 300,300 |     1,1 | 03:16:57 | -44:00:32 |             76.61 | 2023-08-30T09:27:52.373 |   71.62 |     False | 0.5333333333333333 |
| 9638a32ea99240008f1e3a81539620cd |   40.0 | -27.357 | 40.462 | -26.944 | 40.466 | -27.768 | 39.534 | -27.768 | 39.538 | -26.944 |  219.7696226932216 |   -65.9170329533542 |           25 |   1.531211145017528 |   16 |        0.5 | S230830b | 17793 |   1.531211145017528 |    g,r |   6,6 | 300,300 |     1,1 | 02:40:00 | -27:21:25 |             86.72 | 2023-08-30T08:50:54.773 |   66.39 |     False | 0.5333333333333333 |
| 3606bab80a804023b3e1a284a89ce9a9 | 36.857 | -22.599 | 37.302 | -22.187 | 37.305 | -23.011 |  36.41 | -23.011 | 36.412 | -22.187 | 206.46228218344797 |  -67.79770344381303 |           15 |  1.3365500725830302 |   17 |        0.5 | S230830b | 20261 |  1.3365500725830302 |    g,r |   6,6 | 300,300 |     1,1 | 02:27:25 | -22:35:56 |             81.96 | 2023-08-30T08:38:20.453 |   64.32 |     False | 0.5333333333333333 |
| 2459f950adac4828b646fe4c863be1d3 | 23.499 | -32.907 | 23.987 | -32.495 | 23.992 | -33.319 | 23.006 | -33.319 |  23.01 | -32.495 | 247.61918198233255 |  -79.13453349795815 |           23 |  1.3053194151473582 |   18 |        0.5 | S230830b | 15024 |  1.3053194151473582 |    g,r |   6,6 | 300,300 |     1,1 | 01:33:59 | -32:54:25 |             87.74 | 2023-08-30T07:44:54.533 |   51.85 |     False | 0.6666666666666666 |
| c37ec451d72c41329d042b6c59815f3b | 33.684 |  -41.63 | 34.232 | -41.217 | 34.239 | -42.041 | 33.129 | -42.041 | 33.137 | -41.217 |  258.6712298338635 |  -67.62056498444035 |           35 |  1.2403646902860817 |   19 |        0.5 | S230830b | 11057 |  1.2403646902860817 |    g,r |   6,6 | 300,300 |     1,1 | 02:14:44 | -41:37:48 |             79.01 | 2023-08-30T08:25:38.933 |   60.34 |     False | 0.6333333333333333 |
