|              rstar | wdmass |  v9 |        exptime_CEI |         exptime_FB |            alpha_U |        amplitude_U |            alpha_B |        amplitude_B |            alpha_g |        amplitude_g |            alpha_V |        amplitude_V |            alpha_r |        amplitude_r |            alpha_i |        amplitude_i | success |    nfev | ndata | nvar |              chisq |          redchisqr |                aic |                bic |
|                1.4 |    1.2 | 1.0 | 59529.075307045016 |  59528.38055050871 |  3.200546214763862 |   36.0456410072413 | 2.7410261386436723 | 186.19577509158256 | 2.4217269677715776 |  363.9737434658619 | 2.1953385669080303 | 504.03272559650213 | 2.1833305299225763 |  558.9980593990715 | 2.3174241425893713 |   274.528319892495 |     1.0 |   286.0 | 202.0 | 14.0 |  798.1165126486397 |  4.245300599194892 |  305.5453528336631 |    351.86110059728 |
| 1.2999999999999998 |    1.4 | 1.0 |  59529.09480371983 | 59528.334127266826 | 3.2142705407506096 |  34.34291838798846 | 2.7566557092093706 |  177.2900756913068 | 2.4385158933006434 | 346.66995369605917 |  2.213063399670408 |  480.0609489035309 | 2.2021941494526835 |  531.2265837417904 | 2.3351504626620745 |  261.7453654472828 |     1.0 |   286.0 | 202.0 | 14.0 |  808.2282745661098 |   4.29908656684101 |  308.0885215278033 |  354.4042692914202 |
|                1.4 |    1.4 | 1.0 |  59529.04690271284 |  59528.50458255883 | 3.1354147978384637 |  43.40057445568957 |  2.680145630742464 | 220.52750260627872 |  2.362692295415953 |  426.5212477100688 |  2.142749935675424 |  581.2800152566901 |  2.129864886365894 |  645.4095411642653 | 2.2776161839310936 |  309.2832784211744 |     1.0 |   271.0 | 202.0 | 14.0 |   816.472399379435 |  4.342938294571463 |  310.1385329939279 |  356.4542807575448 |
|                1.4 |    1.0 | 1.0 |  59529.10457028477 | 59528.241869723395 |  3.270915655213117 | 29.388341682653262 |  2.806709551390872 |  154.5935839009003 |   2.48551014555291 |  305.6713298892636 |  2.251841601208819 |   431.208373394072 | 2.2428557406097145 | 475.58857696335264 | 2.3612410335226244 | 240.44620655261113 |     1.0 |   393.0 | 202.0 | 14.0 |  826.9709898164026 |  4.398781860725546 | 312.71938747394904 |  359.0351352375659 |
| 1.2999999999999998 |    1.2 | 1.0 | 59529.120303852025 | 59528.216104170686 | 3.2753859699540007 |  28.79272661723683 |  2.812726980901088 | 151.25022309927323 | 2.4929045892321406 |  298.6625082486951 |   2.26107770539782 | 420.28727971757246 | 2.2526717299661145 |  462.9300619504316 | 2.3724341024744344 |  233.7379134261891 |     1.0 |   318.0 | 202.0 | 14.0 |  831.1348359973458 |  4.420929978709286 |  313.7339170455758 |  360.0496648091927 |
| 1.4999999999999998 |    1.0 | 1.0 | 59529.055378950405 | 59528.412196893296 | 3.1938072606908974 | 37.064463106759725 | 2.7297687725482858 | 192.69562459544701 | 2.4092752443274574 | 376.89988442092596 | 2.1813003291347055 |  522.9227584113012 | 2.1699882434804345 |  579.3049742562771 | 2.3013339276829226 |  285.5976255790255 |     1.0 |   271.0 | 202.0 | 14.0 |  831.1442986461122 |  4.420980311947406 | 313.73621684590535 |  360.0519646095222 |
| 1.1999999999999997 |    1.4 | 1.0 | 59529.150452701586 |  59528.13979949825 | 3.3038839536098816 |  26.25103667559456 |  2.843964651633798 | 137.87008348721062 |   2.52453029657871 | 273.13933044504773 |  2.291960898252405 | 385.97611381813056 | 2.2844743343996785 |  424.2201573499606 |  2.401879424222093 | 215.42784034638805 |     1.0 |   273.0 | 202.0 | 14.0 |  836.1286083314872 |   4.44749259750791 |  314.9439777968933 | 361.25972556051016 |
| 1.4999999999999998 |    1.2 | 1.0 |  59529.01984675545 |  59528.56359850761 | 3.1145329632957237 |  46.46365716417135 | 2.6547365742597595 | 237.12070307305626 | 2.3362652523987957 |  457.9410957092949 | 2.1159190608406404 |   623.480187439646 | 2.1039807149243517 |   690.912606888638 |  2.251560812482526 |  330.8705103833049 |     1.0 |   271.0 | 202.0 | 14.0 |  879.1267081248832 |  4.676205894281294 |  325.0735907220234 |  371.3893384856403 |
| 1.2999999999999998 |    1.0 | 1.0 |  59529.14398593588 |  59528.08926062308 | 3.3393094810440647 | 23.881454028599787 |  2.870377355551086 |  128.0239769858996 | 2.5491694956441124 | 255.25050602716524 | 2.3105900168501563 | 365.51307785765005 |  2.307190605136657 |  398.7036916149181 |  2.411444374324255 | 207.32682346249322 |     1.0 |   392.0 | 202.0 | 14.0 |  894.7703444536503 |  4.759416725817289 |  328.6364766933106 | 374.95222445692747 |
| 1.1999999999999997 |    1.2 | 1.0 | 59529.166705079704 | 59528.041286989195 | 3.3540282187493915 |  22.67653887682024 |  2.887477031760261 | 121.38182517429172 |  2.567169471111423 | 242.18204889614563 | 2.3292542316446943 |  346.9818989257047 | 2.3267349375958184 | 377.69666170102556 | 2.4308995685311525 |  196.7088553996995 |     1.0 |   438.0 | 202.0 | 14.0 |  901.3094241032902 |  4.794199064379203 |   330.107346694275 | 376.42309445789186 |
